family,regime,scorer,seed,N,exact_selected_real,exact_selected_score,mc_selected_real,oracle_selected_real,score_utility_correlation,tail_rank_correlation,top_score_tail_real_utility,high_n_regret,real_change_high_minus_low,score_change_high_minus_low,state_idx,K,conditioning,image_size
B_learned_diffusion_policy_lite,id,diffusion_likelihood_proxy,1,1,-0.786897019338224,-0.15002703909897344,-0.769201278473737,-0.7868970193382239,0.4483137829912023,0.6785714285714285,-0.659626630930212,0.037889422815686635,0.2898574728006468,0.08398277651062823,0,4,state,0
B_learned_diffusion_policy_lite,id,diffusion_likelihood_proxy,1,2,-0.7425313097500259,-0.12826899996501548,-0.8070193229775888,-0.7010317838405957,0.4483137829912023,0.6785714285714285,-0.659626630930212,0.037889422815686635,0.2898574728006468,0.08398277651062823,0,4,state,0
B_learned_diffusion_policy_lite,id,diffusion_likelihood_proxy,1,4,-0.6968068457488805,-0.11038757158010168,-0.696645899515992,-0.6331836708314112,0.4483137829912023,0.6785714285714285,-0.659626630930212,0.037889422815686635,0.2898574728006468,0.08398277651062823,0,4,state,0
B_learned_diffusion_policy_lite,id,diffusion_likelihood_proxy,1,8,-0.6401465308681306,-0.09559954024165655,-0.6206597537527775,-0.573526262178627,0.4483137829912023,0.6785714285714285,-0.659626630930212,0.037889422815686635,0.2898574728006468,0.08398277651062823,0,4,state,0
B_learned_diffusion_policy_lite,id,diffusion_likelihood_proxy,1,16,-0.5727590868651151,-0.08108024787432125,-0.5633590892502945,-0.5154388927330081,0.4483137829912023,0.6785714285714285,-0.659626630930212,0.037889422815686635,0.2898574728006468,0.08398277651062823,0,4,state,0
B_learned_diffusion_policy_lite,id,diffusion_likelihood_proxy,1,32,-0.4970395465375772,-0.06604426258834521,-0.517281738984476,-0.45915012372189057,0.4483137829912023,0.6785714285714285,-0.659626630930212,0.037889422815686635,0.2898574728006468,0.08398277651062823,0,4,state,0
B_learned_diffusion_policy_lite,id,learned_behavior_cloning_critic,1,1,-0.786897019338224,-0.21786160266595678,-0.769201278473737,-0.7868970193382239,0.4483137829912023,0.6785714285714285,-0.659626630930212,0.037889422815686635,0.2898574728006468,0.12367875291605326,0,4,state,0
B_learned_diffusion_policy_lite,id,learned_behavior_cloning_critic,1,2,-0.7425313097500259,-0.18586489393191447,-0.8070193229775888,-0.7010317838405957,0.4483137829912023,0.6785714285714285,-0.659626630930212,0.037889422815686635,0.2898574728006468,0.12367875291605326,0,4,state,0
B_learned_diffusion_policy_lite,id,learned_behavior_cloning_critic,1,4,-0.6968068457488805,-0.15955880930854818,-0.696645899515992,-0.6331836708314112,0.4483137829912023,0.6785714285714285,-0.659626630930212,0.037889422815686635,0.2898574728006468,0.12367875291605326,0,4,state,0
B_learned_diffusion_policy_lite,id,learned_behavior_cloning_critic,1,8,-0.6401465308681306,-0.1377765291696408,-0.6206597537527775,-0.573526262178627,0.4483137829912023,0.6785714285714285,-0.659626630930212,0.037889422815686635,0.2898574728006468,0.12367875291605326,0,4,state,0
B_learned_diffusion_policy_lite,id,learned_behavior_cloning_critic,1,16,-0.5727590868651151,-0.11636191428596326,-0.5633590892502945,-0.5154388927330081,0.4483137829912023,0.6785714285714285,-0.659626630930212,0.037889422815686635,0.2898574728006468,0.12367875291605326,0,4,state,0
B_learned_diffusion_policy_lite,id,learned_behavior_cloning_critic,1,32,-0.4970395465375772,-0.09418284974990351,-0.517281738984476,-0.45915012372189057,0.4483137829912023,0.6785714285714285,-0.659626630930212,0.037889422815686635,0.2898574728006468,0.12367875291605326,0,4,state,0
B_learned_diffusion_policy_lite,id,calibrated_critic,1,1,-0.7868970193382239,-0.7869618168965564,-0.769201278473737,-0.7868970193382239,0.9999999999999998,0.9999999999999999,-0.587529514263671,0.0,0.3277468956163333,0.3271754906715172,0,4,state,0
B_learned_diffusion_policy_lite,id,calibrated_critic,1,2,-0.7010317838405957,-0.7012983309923346,-0.7541035063626544,-0.7010317838405957,0.9999999999999998,0.9999999999999999,-0.587529514263671,0.0,0.3277468956163333,0.3271754906715172,0,4,state,0
B_learned_diffusion_policy_lite,id,calibrated_critic,1,4,-0.6331836708314112,-0.6336054538385183,-0.6382850322745017,-0.6331836708314112,0.9999999999999998,0.9999999999999999,-0.587529514263671,0.0,0.3277468956163333,0.3271754906715172,0,4,state,0
B_learned_diffusion_policy_lite,id,calibrated_critic,1,8,-0.573526262178627,-0.5740688485132679,-0.5865447362487053,-0.573526262178627,0.9999999999999998,0.9999999999999999,-0.587529514263671,0.0,0.3277468956163333,0.3271754906715172,0,4,state,0
