conditioning,regime,scorer,K,metric,n,mean,se,ci_low,ci_high,confidence,low_n,high_n,effect,value_col
image,distractors,calibrated_critic,4,exact_selected_real,3,0.19979826179671037,0.05137464053131833,0.12499457770290867,0.2982031177336033,0.95,1,32,high_minus_low,exact_selected_real
image,distractors,calibrated_critic,4,exact_selected_score,3,0.20265328423122242,0.048356186700501354,0.13543356741688006,0.29648020525515484,0.95,1,32,high_minus_low,exact_selected_score
image,distractors,calibrated_critic,4,high_n_regret,3,0.0,0.0,0.0,0.0,0.95,1,32,high_minus_low,high_n_regret
image,distractors,diffusion_likelihood_proxy,4,exact_selected_real,3,0.190236681103396,0.042279814970977665,0.12504211323177528,0.25470250648860204,0.95,1,32,high_minus_low,exact_selected_real
image,distractors,diffusion_likelihood_proxy,4,exact_selected_score,3,0.09642980196954964,0.0037984172980610334,0.0893445239570212,0.10234584539236691,0.95,1,32,high_minus_low,exact_selected_score
image,distractors,diffusion_likelihood_proxy,4,high_n_regret,3,0.0,0.0,0.0,0.0,0.95,1,32,high_minus_low,high_n_regret
image,distractors,learned_behavior_cloning_critic,4,exact_selected_real,3,0.19023668605018226,0.042279814149653046,0.12504211323177528,0.26947085496515233,0.95,1,32,high_minus_low,exact_selected_real
image,distractors,learned_behavior_cloning_critic,4,exact_selected_score,3,0.1412850475809156,0.005509143693711783,0.13099363402880682,0.14983914078437177,0.95,1,32,high_minus_low,exact_selected_score
image,distractors,learned_behavior_cloning_critic,4,high_n_regret,3,0.0,0.0,0.0,0.0,0.95,1,32,high_minus_low,high_n_regret
image,distractors,oracle_real_utility_selector,4,exact_selected_real,3,0.1998141069730787,0.05136310605130966,0.12504211323177528,0.29820311773384167,0.95,1,32,high_minus_low,exact_selected_real
image,distractors,oracle_real_utility_selector,4,exact_selected_score,3,0.1998141069730787,0.05136310605130966,0.12504211323177528,0.29820311773384167,0.95,1,32,high_minus_low,exact_selected_score
image,distractors,oracle_real_utility_selector,4,high_n_regret,3,0.0,0.0,0.0,0.0,0.95,1,32,high_minus_low,high_n_regret
image,hidden_obstacle,calibrated_critic,4,exact_selected_real,3,0.18945101863644098,0.05870551720151047,0.09506514994145399,0.2971211726018206,0.95,1,32,high_minus_low,exact_selected_real
