N,K,n_rows,B,B_se,B_ci_low,B_ci_high,real_utility,real_utility_se,real_utility_ci_low,real_utility_ci_high,latency_adjusted_utility,latency_adjusted_utility_se,latency_adjusted_utility_ci_low,latency_adjusted_utility_ci_high,utility_per_diffusion_step,utility_per_diffusion_step_se,utility_per_diffusion_step_ci_low,utility_per_diffusion_step_ci_high
1,2,5,2.0,0.0,2.0,2.0,-1.5616015797864173,0.025380213315217517,-1.6113458838041876,-1.511857275768647,-1.5686015797864172,0.025380213315217517,-1.6183458838041875,-1.518857275768647,-0.7808007898932087,0.012690106657608759,-0.8056729419020938,-0.7559286378843235
1,4,5,4.0,0.0,4.0,4.0,-1.2544913933858488,0.023583037094987977,-1.3007132967380974,-1.2082694900336002,-1.2684913933858488,0.023583037094987977,-1.3147132967380974,-1.2222694900336002,-0.3136228483464622,0.005895759273746994,-0.32517832418452436,-0.30206737250840004
1,8,5,8.0,0.0,8.0,8.0,-0.989935489003623,0.019755741303155414,-1.028656030445698,-0.951214947561548,-1.0179354890036232,0.01975574130315542,-1.0566560304456982,-0.9792149475615481,-0.12374193612545288,0.0024694676628944268,-0.12858200380571225,-0.1189018684451935
1,16,5,16.0,0.0,16.0,16.0,-0.8720502166759754,0.02319151044023395,-0.9175047418859186,-0.8265956914660322,-0.9280502166759754,0.02319151044023395,-0.9735047418859186,-0.8825956914660322,-0.05450313854224846,0.0014494694025146218,-0.05734404636786991,-0.05166223071662701
1,32,5,32.0,0.0,32.0,32.0,-0.8807920754539861,0.06101415171551922,-1.0003776153636665,-0.7612065355443056,-0.9927920754539858,0.06101415171551924,-1.1123776153636662,-0.8732065355443054,-0.027524752357937065,0.0019066922411099757,-0.03126180048011458,-0.02378770423575955
2,2,5,4.0,0.0,4.0,4.0,-1.1749321813965699,0.03677799219069759,-1.2470157215140325,-1.1028486412791072,-1.1889321813965699,0.03677799219069759,-1.2610157215140325,-1.1168486412791072,-0.29373304534914246,0.009194498047674398,-0.3117539303785081,-0.2757121603197768
2,4,5,8.0,0.0,8.0,8.0,-0.9682043479814055,0.030619668688018156,-1.02821779582847,-0.9081909001343411,-0.9962043479814057,0.03061966868801815,-1.05621779582847,-0.9361909001343413,-0.12102554349767569,0.0038274585860022694,-0.12852722447855874,-0.11352386251679264
2,8,5,16.0,0.0,16.0,16.0,-0.8003317223509893,0.018575686203969217,-0.8367393982988864,-0.7639240464030921,-0.8563317223509893,0.018575686203969217,-0.8927393982988865,-0.8199240464030921,-0.05002073264693683,0.001160980387748076,-0.0522962123936804,-0.047745252900193255
2,16,5,32.0,0.0,32.0,32.0,-0.7075683813991306,0.02982665832554795,-0.7660275574963863,-0.6491092053018749,-0.8195683813991306,0.02982665832554795,-0.8780275574963863,-0.7611092053018749,-0.02211151191872283,0.0009320830726733734,-0.02393836117176207,-0.02028466266568359
2,32,5,64.0,0.0,64.0,64.0,-0.7147082049710337,0.06085469047479139,-0.8339812065919575,-0.5954352033501099,-0.9387082049710338,0.060854690474791404,-1.0579812065919576,-0.81943520335011,-0.011167315702672402,0.0009508545386686155,-0.013030956352999336,-0.009303675052345467
4,2,5,8.0,0.0,8.0,8.0,-0.907229293059563,0.04482576975430351,-0.9950861873572827,-0.8193723987618433,-0.9352292930595629,0.04482576975430351,-1.0230861873572827,-0.8473723987618432,-0.11340366163244538,0.005603221219287939,-0.12438577341966034,-0.10242154984523041
4,4,5,16.0,0.0,16.0,16.0,-0.7431189976061312,0.04132651435284513,-0.8241174773442852,-0.6621205178679772,-0.7991189976061313,0.04132651435284513,-0.8801174773442852,-0.7181205178679773,-0.0464449373503832,0.0025829071470528206,-0.051507342334017825,-0.041382532366748576
4,8,5,32.0,0.0,32.0,32.0,-0.6534148097557132,0.0228595666329177,-0.6982187370584254,-0.608610882453001,-0.7654148097557132,0.0228595666329177,-0.8102187370584254,-0.720610882453001,-0.020419212804866037,0.0007143614572786781,-0.021819335533075794,-0.01901909007665628
4,16,5,64.0,0.0,64.0,64.0,-0.5722173614030104,0.0396626754031359,-0.6499547767236594,-0.49447994608236134,-0.7962173614030104,0.0396626754031359,-0.8739547767236594,-0.7184799460823613,-0.008940896271922037,0.0006197293031739985,-0.010155543386307178,-0.007726249157536896
4,32,5,128.0,0.0,128.0,128.0,-0.5927028270254159,0.06449450338167852,-0.7191097308543024,-0.4662959231965293,-1.040702827025416,0.0644945033816785,-1.1671097308543026,-0.9142959231965294,-0.0046304908361360616,0.0005038633076693634,-0.005618044772299238,-0.003642936899972885
8,2,5,16.0,0.0,16.0,16.0,-0.7233774053200752,0.0584163918488282,-0.8378714294505576,-0.6088833811895928,-0.7793774053200753,0.0584163918488282,-0.8938714294505576,-0.6648833811895929,-0.0452110878325047,0.0036510244905517625,-0.05236696434065985,-0.03805521132434955
8,4,5,32.0,0.0,32.0,32.0,-0.5687239551259482,0.05241490318041848,-0.6714552776127223,-0.46599263263917406,-0.6807239551259482,0.05241490318041847,-0.7834552776127223,-0.5779926326391741,-0.01777262359768588,0.0016379657243880774,-0.02098297742539757,-0.01456226976997419
8,8,5,64.0,0.0,64.0,64.0,-0.5292326295442866,0.027329019686824146,-0.5827965238632481,-0.4756687352253252,-0.7532326295442866,0.027329019686824142,-0.806796523863248,-0.6996687352253252,-0.008269259836629479,0.0004270159326066273,-0.009106195685363251,-0.0074323239878957064
8,16,5,128.0,0.0,128.0,128.0,-0.467900553521787,0.051642459882962566,-0.5691179149654482,-0.36668319207812583,-0.9159005535217869,0.05164245988296256,-1.0171179149654481,-0.8146831920781257,-0.003655473074388961,0.00040345671783564505,-0.004446233710667564,-0.002864712438110358
8,32,5,256.0,0.0,256.0,256.0,-0.5079389582105294,0.068664058286818,-0.6425180394850516,-0.3733598769360071,-1.4039389582105293,0.06866405828681799,-1.5385180394850515,-1.269359876936007,-0.0019841365555098803,0.0002682189776828828,-0.002509836091738483,-0.0014584370192812777
16,2,5,32.0,0.0,32.0,32.0,-0.5999528745149474,0.07810523012487489,-0.753036312563915,-0.44686943646597976,-0.7119528745149473,0.07810523012487489,-0.8650363125639149,-0.5588694364659796,-0.018748527328592106,0.00244078844140234,-0.023532384767622344,-0.013964669889561868
16,4,5,64.0,0.0,64.0,64.0,-0.4390043479355052,0.05812776701442032,-0.5529326777855044,-0.325076018085506,-0.6630043479355051,0.05812776701442031,-0.7769326777855042,-0.549076018085506,-0.006859442936492269,0.0009082463596003175,-0.008639573090398506,-0.0050793127825860315
16,8,5,128.0,0.0,128.0,128.0,-0.4211068829531694,0.028563635633243035,-0.4770905800618507,-0.3651231858444881,-0.8691068829531693,0.028563635633243028,-0.9250905800618505,-0.8131231858444881,-0.003289897523071636,0.0002231534033847112,-0.0037272701567332084,-0.0028525248894100633
16,16,5,256.0,0.0,256.0,256.0,-0.3930251846177015,0.06203106415137707,-0.5146038362770942,-0.2714465329583088,-1.2890251846177014,0.062031064151377054,-1.410603836277094,-1.1674465329583088,-0.0015352546274128964,0.00024230884434131667,-0.002010171235457399,-0.0010603380193683937
16,32,5,512.0,0.0,512.0,512.0,-0.45182364169393113,0.07142025523022576,-0.591804769711832,-0.3118425136760302,-2.2438236416939312,0.0714202552302258,-2.383804769711832,-2.1038425136760304,-0.0008824680501834592,0.00013949268599653468,-0.001155868690843422,-0.0006090674095234965
32,2,5,64.0,0.0,64.0,64.0,-0.5242685632396282,0.09733686054537845,-0.7150453042767677,-0.33349182220248874,-0.7482685632396282,0.09733686054537845,-0.9390453042767677,-0.5574918222024887,-0.008191696300619191,0.0015208884460215383,-0.011172582879324496,-0.005210809721913887
32,4,5,128.0,0.0,128.0,128.0,-0.3567190611024862,0.06412915798255912,-0.48240990110718135,-0.23102822109779103,-0.8047190611024864,0.06412915798255912,-0.9304099011071816,-0.6790282210977912,-0.0027868676648631734,0.0005010090467387432,-0.0037688273523998543,-0.0018049079773264924
32,8,5,256.0,0.0,256.0,256.0,-0.33255439517665353,0.03195761234148584,-0.3951901643978585,-0.2699186259554486,-1.2285543951766535,0.03195761234148583,-1.2911901643978585,-1.1659186259554486,-0.0012990406061588028,0.00012483442320892907,-0.0015437115796791347,-0.001054369632638471
32,16,5,512.0,0.0,512.0,512.0,-0.3410080316801272,0.06839665817175546,-0.475063018359665,-0.2069530450005894,-2.1330080316801276,0.06839665817175546,-2.2670630183596656,-1.99895304500059,-0.0006660313118752485,0.00013358722299170988,-0.0009278574577337207,-0.00040420516601677616
32,32,5,1024.0,0.0,1024.0,1024.0,-0.41902418946364506,0.07314430556153695,-0.5623843940384502,-0.2756639848888399,-4.003024189463645,0.07314430556153692,-4.14638439403845,-3.8596639848888397,-0.0004092033100230909,7.142998589993843e-05,-0.000549203509803174,-0.00026920311024300773
