sampler,regime,scorer,K,metric,n,mean,se,ci_low,ci_high,confidence,low_n,high_n,effect,value_col
consistency_1step,pusht_aligned,behavior_cloning_critic,1,exact_selected_real,1,-0.014835587775833714,0.0,-0.014835587775833714,-0.014835587775833714,0.95,1,8,high_minus_low,exact_selected_real
consistency_1step,pusht_aligned,behavior_cloning_critic,1,exact_selected_score,1,0.01576979929702188,0.0,0.01576979929702188,0.01576979929702188,0.95,1,8,high_minus_low,exact_selected_score
consistency_1step,pusht_aligned,behavior_cloning_critic,1,high_n_regret,1,0.0,0.0,0.0,0.0,0.95,1,8,high_minus_low,high_n_regret
consistency_1step,pusht_aligned,diffusion_internal_score,1,exact_selected_real,1,0.03085604844015266,0.0,0.03085604844015266,0.03085604844015266,0.95,1,8,high_minus_low,exact_selected_real
consistency_1step,pusht_aligned,diffusion_internal_score,1,exact_selected_score,1,0.49974432226719756,0.0,0.49974432226719756,0.49974432226719756,0.95,1,8,high_minus_low,exact_selected_score
consistency_1step,pusht_aligned,diffusion_internal_score,1,high_n_regret,1,0.0,0.0,0.0,0.0,0.95,1,8,high_minus_low,high_n_regret
consistency_1step,pusht_aligned,learned_value_critic_from_pilot_rollouts,1,exact_selected_real,1,0.042368988403007346,0.0,0.042368988403007346,0.042368988403007346,0.95,1,8,high_minus_low,exact_selected_real
consistency_1step,pusht_aligned,learned_value_critic_from_pilot_rollouts,1,exact_selected_score,1,0.0169089519545097,0.0,0.0169089519545097,0.0169089519545097,0.95,1,8,high_minus_low,exact_selected_score
consistency_1step,pusht_aligned,learned_value_critic_from_pilot_rollouts,1,high_n_regret,1,0.0,0.0,0.0,0.0,0.95,1,8,high_minus_low,high_n_regret
consistency_1step,pusht_aligned,misaligned_corner_scorer,1,exact_selected_real,1,0.04284594180559975,0.0,0.04284594180559975,0.04284594180559975,0.95,1,8,high_minus_low,exact_selected_real
consistency_1step,pusht_aligned,misaligned_corner_scorer,1,exact_selected_score,1,0.049379241405941854,0.0,0.049379241405941854,0.049379241405941854,0.95,1,8,high_minus_low,exact_selected_score
consistency_1step,pusht_aligned,misaligned_corner_scorer,1,high_n_regret,1,0.0,0.0,0.0,0.0,0.95,1,8,high_minus_low,high_n_regret
consistency_1step,pusht_aligned,oracle_real_utility_selector,1,exact_selected_real,1,0.05637019168658558,0.0,0.05637019168658558,0.05637019168658558,0.95,1,8,high_minus_low,exact_selected_real
consistency_1step,pusht_aligned,oracle_real_utility_selector,1,exact_selected_score,1,0.05637019168658558,0.0,0.05637019168658558,0.05637019168658558,0.95,1,8,high_minus_low,exact_selected_score
consistency_1step,pusht_aligned,oracle_real_utility_selector,1,high_n_regret,1,0.0,0.0,0.0,0.0,0.95,1,8,high_minus_low,high_n_regret
consistency_1step,pusht_aligned,random_sample_selection,1,exact_selected_real,1,-0.046854820855099566,0.0,-0.046854820855099566,-0.046854820855099566,0.95,1,8,high_minus_low,exact_selected_real
consistency_1step,pusht_aligned,random_sample_selection,1,exact_selected_score,1,1.7182838779642555,0.0,1.7182838779642555,1.7182838779642555,0.95,1,8,high_minus_low,exact_selected_score
consistency_1step,pusht_aligned,random_sample_selection,1,high_n_regret,1,0.0,0.0,0.0,0.0,0.95,1,8,high_minus_low,high_n_regret
consistency_1step,pusht_aligned,uncertainty_aware_critic,1,exact_selected_real,1,0.041987334884578675,0.0,0.041987334884578675,0.041987334884578675,0.95,1,8,high_minus_low,exact_selected_real
consistency_1step,pusht_aligned,uncertainty_aware_critic,1,exact_selected_score,1,0.017914250268860066,0.0,0.017914250268860066,0.017914250268860066,0.95,1,8,high_minus_low,exact_selected_score
consistency_1step,pusht_aligned,uncertainty_aware_critic,1,high_n_regret,1,0.0,0.0,0.0,0.0,0.95,1,8,high_minus_low,high_n_regret
consistency_1step,pusht_high_temp_misaligned,behavior_cloning_critic,1,exact_selected_real,1,0.16667966876354962,0.0,0.16667966876354962,0.16667966876354962,0.95,1,8,high_minus_low,exact_selected_real
consistency_1step,pusht_high_temp_misaligned,behavior_cloning_critic,1,exact_selected_score,1,0.018624538502567636,0.0,0.018624538502567636,0.018624538502567636,0.95,1,8,high_minus_low,exact_selected_score
consistency_1step,pusht_high_temp_misaligned,behavior_cloning_critic,1,high_n_regret,1,0.0,0.0,0.0,0.0,0.95,1,8,high_minus_low,high_n_regret
consistency_1step,pusht_high_temp_misaligned,diffusion_internal_score,1,exact_selected_real,1,-0.017265791332349893,0.0,-0.017265791332349893,-0.017265791332349893,0.95,1,8,high_minus_low,exact_selected_real
consistency_1step,pusht_high_temp_misaligned,diffusion_internal_score,1,exact_selected_score,1,0.36702124516603796,0.0,0.36702124516603796,0.36702124516603796,0.95,1,8,high_minus_low,exact_selected_score
consistency_1step,pusht_high_temp_misaligned,diffusion_internal_score,1,high_n_regret,1,0.0,0.0,0.0,0.0,0.95,1,8,high_minus_low,high_n_regret
consistency_1step,pusht_high_temp_misaligned,learned_value_critic_from_pilot_rollouts,1,exact_selected_real,1,0.029383943367439984,0.0,0.029383943367439984,0.029383943367439984,0.95,1,8,high_minus_low,exact_selected_real
consistency_1step,pusht_high_temp_misaligned,learned_value_critic_from_pilot_rollouts,1,exact_selected_score,1,0.08764090606013444,0.0,0.08764090606013444,0.08764090606013444,0.95,1,8,high_minus_low,exact_selected_score
consistency_1step,pusht_high_temp_misaligned,learned_value_critic_from_pilot_rollouts,1,high_n_regret,1,0.0,0.0,0.0,0.0,0.95,1,8,high_minus_low,high_n_regret
consistency_1step,pusht_high_temp_misaligned,misaligned_corner_scorer,1,exact_selected_real,1,-0.09912267195123844,0.0,-0.09912267195123844,-0.09912267195123844,0.95,1,8,high_minus_low,exact_selected_real
consistency_1step,pusht_high_temp_misaligned,misaligned_corner_scorer,1,exact_selected_score,1,0.07375207433785014,0.0,0.07375207433785014,0.07375207433785014,0.95,1,8,high_minus_low,exact_selected_score
consistency_1step,pusht_high_temp_misaligned,misaligned_corner_scorer,1,high_n_regret,1,0.0,0.0,0.0,0.0,0.95,1,8,high_minus_low,high_n_regret
consistency_1step,pusht_high_temp_misaligned,oracle_real_utility_selector,1,exact_selected_real,1,0.20533992145875263,0.0,0.20533992145875263,0.20533992145875263,0.95,1,8,high_minus_low,exact_selected_real
consistency_1step,pusht_high_temp_misaligned,oracle_real_utility_selector,1,exact_selected_score,1,0.20533992145875263,0.0,0.20533992145875263,0.20533992145875263,0.95,1,8,high_minus_low,exact_selected_score
