conditioning,regime,scorer,N,K,n_rows,exact_selected_real,exact_selected_real_se,exact_selected_real_ci_low,exact_selected_real_ci_high,exact_selected_score,exact_selected_score_se,exact_selected_score_ci_low,exact_selected_score_ci_high,mc_selected_real,mc_selected_real_se,mc_selected_real_ci_low,mc_selected_real_ci_high,oracle_selected_real,oracle_selected_real_se,oracle_selected_real_ci_low,oracle_selected_real_ci_high,score_utility_correlation,score_utility_correlation_se,score_utility_correlation_ci_low,score_utility_correlation_ci_high,tail_rank_correlation,tail_rank_correlation_se,tail_rank_correlation_ci_low,tail_rank_correlation_ci_high,top_score_tail_real_utility,top_score_tail_real_utility_se,top_score_tail_real_utility_ci_low,top_score_tail_real_utility_ci_high,high_n_regret,high_n_regret_se,high_n_regret_ci_low,high_n_regret_ci_high,real_change_high_minus_low,real_change_high_minus_low_se,real_change_high_minus_low_ci_low,real_change_high_minus_low_ci_high,score_change_high_minus_low,score_change_high_minus_low_se,score_change_high_minus_low_ci_low,score_change_high_minus_low_ci_high
image,distractors,calibrated_critic,1,4,3,-1.0545781871575401,0.102403242433776,-1.255284854227865,-0.8538715200872155,-1.054247025546027,0.10272819968119275,-1.2555905971178039,-0.8529034539742502,-1.0544265495751821,0.1072609078968771,-1.264654066002129,-0.8441990331482352,-1.0545781871575401,0.102403242433776,-1.255284854227865,-0.8538715200872155,0.9984115347018571,0.0014091596523302524,0.9956496325348227,1.0011734368688914,0.9642857142857143,0.0357142857142857,0.8942870005521409,1.0342844280192875,-0.9308568096274503,0.09042922601208463,-1.1080948357609688,-0.7536187834939319,1.5845176368323166e-05,1.5845176249140724e-05,-1.5210798408682109e-05,4.690115114532844e-05,0.19979826179671037,0.05137464053131833,0.09910581663663476,0.300490706956786,0.20265328423122242,0.048356186700501354,0.10787689986854504,0.2974296685938998
image,distractors,calibrated_critic,2,4,3,-1.0078240741938025,0.0992159206205624,-1.2022837053030897,-0.8133644430845153,-1.0077872962035883,0.099388429047076,-1.2025850376158718,-0.8129895547913049,-1.0029822054155406,0.10080445750740578,-1.2005553116111543,-0.8054090992199271,-1.007805925348413,0.0992338485842245,-1.2023006946207941,-0.813311156076032,0.9984115347018571,0.0014091596523302524,0.9956496325348227,1.0011734368688914,0.9642857142857143,0.0357142857142857,0.8942870005521409,1.0342844280192875,-0.9308568096274503,0.09042922601208463,-1.1080948357609688,-0.7536187834939319,1.5845176368323166e-05,1.5845176249140724e-05,-1.5210798408682109e-05,4.690115114532844e-05,0.19979826179671037,0.05137464053131833,0.09910581663663476,0.300490706956786,0.20265328423122242,0.048356186700501354,0.10787689986854504,0.2974296685938998
image,distractors,calibrated_critic,4,4,3,-0.9644981670531622,0.09368008970739562,-1.148107768948139,-0.7808885651581854,-0.9647271492180062,0.09372480902750913,-1.1484243993698184,-0.7810298990661938,-0.9499538410993554,0.0890084420651882,-1.1244071818671442,-0.7755005003315667,-0.9644455143739723,0.09373117512555307,-1.148155241848673,-0.7807357868992717,0.9984115347018571,0.0014091596523302524,0.9956496325348227,1.0011734368688914,0.9642857142857143,0.0357142857142857,0.8942870005521409,1.0342844280192875,-0.9308568096274503,0.09042922601208463,-1.1080948357609688,-0.7536187834939319,1.5845176368323166e-05,1.5845176249140724e-05,-1.5210798408682109e-05,4.690115114532844e-05,0.19979826179671037,0.05137464053131833,0.09910581663663476,0.300490706956786,0.20265328423122242,0.048356186700501354,0.10787689986854504,0.2974296685938998
image,distractors,calibrated_critic,8,4,3,-0.9234214648365415,0.08861217569117195,-1.0970981377829743,-0.7497447918901089,-0.9235197853862079,0.08890654794721313,-1.097773417352529,-0.7492661534198868,-0.9269517267740325,0.08736102378127424,-1.0981761870378772,-0.7557272665101878,-0.9233269642430502,0.08869967794366759,-1.0971751384529405,-0.7494787900331599,0.9984115347018571,0.0014091596523302524,0.9956496325348227,1.0011734368688914,0.9642857142857143,0.0357142857142857,0.8942870005521409,1.0342844280192875,-0.9308568096274503,0.09042922601208463,-1.1080948357609688,-0.7536187834939319,1.5845176368323166e-05,1.5845176249140724e-05,-1.5210798408682109e-05,4.690115114532844e-05,0.19979826179671037,0.05137464053131833,0.09910581663663476,0.300490706956786,0.20265328423122242,0.048356186700501354,0.10787689986854504,0.2974296685938998
image,distractors,calibrated_critic,16,4,3,-0.8865088326612799,0.08444017350218633,-1.0520085315738785,-0.7210091337486813,-0.8855783515801159,0.08571076858771734,-1.053568371099289,-0.717588332060943,-0.8819911177764291,0.0799616281704037,-1.0387130291356037,-0.7252692064172546,-0.886429280231169,0.0845087276121782,-1.0520633427303439,-0.7207952177319941,0.9984115347018571,0.0014091596523302524,0.9956496325348227,1.0011734368688914,0.9642857142857143,0.0357142857142857,0.8942870005521409,1.0342844280192875,-0.9308568096274503,0.09042922601208463,-1.1080948357609688,-0.7536187834939319,1.5845176368323166e-05,1.5845176249140724e-05,-1.5210798408682109e-05,4.690115114532844e-05,0.19979826179671037,0.05137464053131833,0.09910581663663476,0.300490706956786,0.20265328423122242,0.048356186700501354,0.10787689986854504,0.2974296685938998
image,distractors,calibrated_critic,32,4,3,-0.8547799253608299,0.08015822367698343,-1.0118871568324233,-0.6976726938892366,-0.8515937413148048,0.08323942182757159,-1.0147400101907824,-0.6884474724388273,-0.8525663593669209,0.0803138508925243,-1.0099786145759886,-0.6951541041578533,-0.8547640801844616,0.08017091517783131,-1.0118961865406266,-0.6976319738282967,0.9984115347018571,0.0014091596523302524,0.9956496325348227,1.0011734368688914,0.9642857142857143,0.0357142857142857,0.8942870005521409,1.0342844280192875,-0.9308568096274503,0.09042922601208463,-1.1080948357609688,-0.7536187834939319,1.5845176368323166e-05,1.5845176249140724e-05,-1.5210798408682109e-05,4.690115114532844e-05,0.19979826179671037,0.05137464053131833,0.09910581663663476,0.300490706956786,0.20265328423122242,0.048356186700501354,0.10787689986854504,0.2974296685938998
image,distractors,diffusion_likelihood_proxy,1,4,3,-1.0545781871575401,0.102403242433776,-1.255284854227865,-0.8538715200872155,-0.4529689772133423,0.1464659735977728,-0.7400370104255714,-0.16590094400111322,-1.0544265495751821,0.1072609078968771,-1.264654066002129,-0.8441990331482352,-1.0545781871575401,0.102403242433776,-1.255284854227865,-0.8538715200872155,0.8969941348973606,0.10282263509685734,0.6954654733120161,1.0985227964827051,0.8928571428571428,0.10714285714285714,0.6828610016564227,1.1028532840578629,-0.9331613839288487,0.09083921263524262,-1.1112029690779002,-0.7551197987797974,0.009577425869682687,0.009577418449504287,-0.009193969356215158,0.028348821095580533,0.190236681103396,0.042279814970977665,0.1073697664872624,0.2731035957195296,0.09642980196954964,0.0037984172980610334,0.08898504086709608,0.10387456307200321
image,distractors,diffusion_likelihood_proxy,2,4,3,-1.0102921043745783,0.10015473518012488,-1.2065917782087698,-0.8139924305403868,-0.4265328236223636,0.14726199425867892,-0.7151610286609185,-0.13790461858380876,-1.0045404293802396,0.10141961213703386,-1.2033192164948472,-0.805761642265632,-1.007805925348413,0.0992338485842245,-1.2023006946207941,-0.813311156076032,0.8969941348973606,0.10282263509685734,0.6954654733120161,1.0985227964827051,0.8928571428571428,0.10714285714285714,0.6828610016564227,1.1028532840578629,-0.9331613839288487,0.09083921263524262,-1.1112029690779002,-0.7551197987797974,0.009577425869682687,0.009577418449504287,-0.009193969356215158,0.028348821095580533,0.190236681103396,0.042279814970977665,0.1073697664872624,0.2731035957195296,0.09642980196954964,0.0037984172980610334,0.08898504086709608,0.10387456307200321
image,distractors,diffusion_likelihood_proxy,4,4,3,-0.9675945160236642,0.09464758088734634,-1.1531003657867045,-0.7820886662606239,-0.4053293339536866,0.14777839671763449,-0.6949696692133223,-0.11568899869405092,-0.9543622005802902,0.09033227755361292,-1.1314102112268474,-0.777314189933733,-0.9644455143739723,0.09373117512555307,-1.148155241848673,-0.7807357868992717,0.8969941348973606,0.10282263509685734,0.6954654733120161,1.0985227964827051,0.8928571428571428,0.10714285714285714,0.6828610016564227,1.1028532840578629,-0.9331613839288487,0.09083921263524262,-1.1112029690779002,-0.7551197987797974,0.009577425869682687,0.009577418449504287,-0.009193969356215158,0.028348821095580533,0.190236681103396,0.042279814970977665,0.1073697664872624,0.2731035957195296,0.09642980196954964,0.0037984172980610334,0.08898504086709608,0.10387456307200321
image,distractors,diffusion_likelihood_proxy,8,4,3,-0.9282701702463442,0.08950684135859088,-1.1037003556791225,-0.752839984813566,-0.38758746735777766,0.1480057638349693,-0.6776734339786583,-0.09750150073689706,-0.9337092622462108,0.08848565529250524,-1.107137959767947,-0.7602805647244745,-0.9233269642430502,0.08869967794366759,-1.0971751384529405,-0.7494787900331599,0.8969941348973606,0.10282263509685734,0.6954654733120161,1.0985227964827051,0.8928571428571428,0.10714285714285714,0.6828610016564227,1.1028532840578629,-0.9331613839288487,0.09083921263524262,-1.1112029690779002,-0.7551197987797974,0.009577425869682687,0.009577418449504287,-0.009193969356215158,0.028348821095580533,0.190236681103396,0.042279814970977665,0.1073697664872624,0.2731035957195296,0.09642980196954964,0.0037984172980610334,0.08898504086709608,0.10387456307200321
