seed,conditioning,regime,scorer,N,K,mean_receding_horizon_utility
1,state,id,diffusion_likelihood_proxy,8,8,-0.8549938946892924
1,state,id,calibrated_critic,8,8,-0.8450445080773212
1,image,id,diffusion_likelihood_proxy,8,8,-0.942649544330061
1,image,id,calibrated_critic,8,8,-0.942649544330061
1,state,distractors,diffusion_likelihood_proxy,8,8,-0.8549938946892924
1,state,distractors,calibrated_critic,8,8,-0.8450445080773212
1,image,distractors,diffusion_likelihood_proxy,8,8,-0.941032958920519
1,image,distractors,calibrated_critic,8,8,-0.941032958920519
1,state,shifted_colors,diffusion_likelihood_proxy,8,8,-0.8549938946892924
1,state,shifted_colors,calibrated_critic,8,8,-0.8450445080773212
1,image,shifted_colors,diffusion_likelihood_proxy,8,8,-0.9422711897473887
1,image,shifted_colors,calibrated_critic,8,8,-0.9422711897473887
1,state,observation_noise,diffusion_likelihood_proxy,8,8,-0.8549938946892924
1,state,observation_noise,calibrated_critic,8,8,-0.8450445080773212
1,image,observation_noise,diffusion_likelihood_proxy,8,8,-0.9407333707241391
1,image,observation_noise,calibrated_critic,8,8,-0.9407333707241391
1,state,hidden_obstacle,diffusion_likelihood_proxy,8,8,-0.9111354821039949
1,state,hidden_obstacle,calibrated_critic,8,8,-0.9143773147862397
1,image,hidden_obstacle,diffusion_likelihood_proxy,8,8,-1.0567034043889176
1,image,hidden_obstacle,calibrated_critic,8,8,-1.0567034043889176
