seed,state_idx,N,K,B,real_utility,latency_adjusted_utility,utility_per_diffusion_step,lambda_cost
1,0,1,2,2,-1.4903042729024798,-1.4973042729024797,-0.7451521364512399,0.0035
1,0,2,2,4,-1.0951225467310015,-1.1091225467310015,-0.2737806366827504,0.0035
1,0,4,2,8,-0.8583358977988071,-0.8863358977988072,-0.1072919872248509,0.0035
1,0,8,2,16,-0.7330154586991723,-0.7890154586991723,-0.04581346616869827,0.0035
1,0,16,2,32,-0.6728844644621317,-0.7848844644621317,-0.021027639514441615,0.0035
1,0,32,2,64,-0.6463011076510402,-0.8703011076510402,-0.010098454807047503,0.0035
1,0,1,4,4,-1.2090682448342611,-1.2230682448342611,-0.3022670612085653,0.0035
1,0,2,4,8,-0.8647922121348697,-0.8927922121348697,-0.10809902651685871,0.0035
1,0,4,4,16,-0.5982071875354339,-0.6542071875354339,-0.03738794922096462,0.0035
1,0,8,4,32,-0.392764424072003,-0.5047644240720031,-0.012273888252250094,0.0035
1,0,16,4,64,-0.2572531206467978,-0.4812531206467978,-0.004019580010106215,0.0035
1,0,32,4,128,-0.17735045322393303,-0.625350453223933,-0.0013855504158119768,0.0035
1,0,1,8,8,-0.9941738973799137,-1.0221738973799137,-0.12427173717248921,0.0035
1,0,2,8,16,-0.7935222431270429,-0.8495222431270429,-0.04959514019544018,0.0035
1,0,4,8,32,-0.6292766871450374,-0.7412766871450374,-0.019664896473282418,0.0035
1,0,8,8,64,-0.4928769109336347,-0.7168769109336347,-0.007701201733338043,0.0035
1,0,16,8,128,-0.3661428132178673,-0.8141428132178673,-0.002860490728264588,0.0035
1,0,32,8,256,-0.24718935668656822,-1.1431893566865683,-0.0009655834245569071,0.0035
1,0,1,16,16,-0.8141538690307383,-0.8701538690307383,-0.05088461681442114,0.0035
1,0,2,16,32,-0.6296986230349964,-0.7416986230349963,-0.019678081969843636,0.0035
1,0,4,16,64,-0.46270856000964944,-0.6867085600096494,-0.0072298212501507725,0.0035
1,0,8,16,128,-0.31510192668856785,-0.7631019266885679,-0.0024617338022544363,0.0035
1,0,16,16,256,-0.19805584943286741,-1.0940558494328674,-0.0007736556618471383,0.0035
1,0,32,16,512,-0.11985558042711664,-1.9118555804271167,-0.00023409293052171218,0.0035
1,0,1,32,32,-0.7006960460299293,-0.8126960460299293,-0.02189675143843529,0.0035
1,0,2,32,64,-0.5155214997576568,-0.7395214997576568,-0.008055023433713388,0.0035
1,0,4,32,128,-0.38089440388390416,-0.8288944038839041,-0.0029757375303430013,0.0035
1,0,8,32,256,-0.2930536773349059,-1.1890536773349059,-0.0011447409270894761,0.0035
1,0,16,32,512,-0.2366801392136199,-2.02868013921362,-0.0004622658969016014,0.0035
1,0,32,32,1024,-0.1988792374069736,-3.7828792374069735,-0.00019421800528024766,0.0035
1,1,1,2,2,-1.6245403749556875,-1.6315403749556874,-0.8122701874778437,0.0035
1,1,2,2,4,-1.2196400001862477,-1.2336400001862478,-0.30491000004656194,0.0035
1,1,4,2,8,-0.9055995512713273,-0.9335995512713273,-0.11319994390891591,0.0035
1,1,8,2,16,-0.693605982970864,-0.749605982970864,-0.043350373935679,0.0035
1,1,16,2,32,-0.5664771816336146,-0.6784771816336146,-0.017702411926050456,0.0035
1,1,32,2,64,-0.5046211918474295,-0.7286211918474295,-0.007884706122616086,0.0035
1,1,1,4,4,-1.196374878740588,-1.210374878740588,-0.299093719685147,0.0035
1,1,2,4,8,-0.9428114266375854,-0.9708114266375855,-0.11785142832969818,0.0035
1,1,4,4,16,-0.7663185626765111,-0.8223185626765112,-0.047894910167281944,0.0035
1,1,8,4,32,-0.6603609790492528,-0.7723609790492528,-0.02063628059528915,0.0035
1,1,16,4,64,-0.6005717607483683,-0.8245717607483682,-0.009383933761693254,0.0035
1,1,32,4,128,-0.5738700169836312,-1.0218700169836312,-0.004483359507684618,0.0035
1,1,1,8,8,-1.0332783985230853,-1.0612783985230854,-0.12915979981538567,0.0035
1,1,2,8,16,-0.8590723677609418,-0.9150723677609418,-0.05369202298505886,0.0035
1,1,4,8,32,-0.7362497956442285,-0.8482497956442285,-0.023007806113882142,0.0035
1,1,8,8,64,-0.6295484135886924,-0.8535484135886924,-0.009836693962323319,0.0035
1,1,16,8,128,-0.5196713420086971,-0.9676713420086971,-0.004059932359442946,0.0035
1,1,32,8,256,-0.4161359662396655,-1.3121359662396654,-0.0016255311181236933,0.0035
1,1,1,16,16,-0.8790749878330442,-0.9350749878330442,-0.05494218673956526,0.0035
1,1,2,16,32,-0.7579992287696093,-0.8699992287696093,-0.023687475899050292,0.0035
1,1,4,16,64,-0.6550715661593933,-0.8790715661593933,-0.01023549322124052,0.0035
1,1,8,16,128,-0.5753006742060351,-1.023300674206035,-0.00449453651723465,0.0035
1,1,16,16,256,-0.5194389382465151,-1.4154389382465151,-0.0020290583525254496,0.0035
1,1,32,16,512,-0.4827922739531459,-2.274792273953146,-0.0009429536600647381,0.0035
1,1,1,32,32,-0.9475484381973412,-1.0595484381973412,-0.029610888693666914,0.0035
1,1,2,32,64,-0.8081829394530223,-1.0321829394530224,-0.012627858428953474,0.0035
1,1,4,32,128,-0.7018049616004693,-1.1498049616004693,-0.005482851262503667,0.0035
1,1,8,32,256,-0.6245179060236467,-1.5205179060236467,-0.0024395230704048697,0.0035
1,1,16,32,512,-0.5696058767209302,-2.3616058767209305,-0.0011125114779705668,0.0035
1,1,32,32,1024,-0.5393906108834849,-4.123390610883485,-0.0005267486434409033,0.0035
1,2,1,2,2,-1.5745187324451606,-1.5815187324451605,-0.7872593662225803,0.0035
1,2,2,2,4,-1.168135314955279,-1.182135314955279,-0.2920338287388197,0.0035
1,2,4,2,8,-0.8832616226533196,-0.9112616226533197,-0.11040770283166496,0.0035
1,2,8,2,16,-0.6884555580784282,-0.7444555580784282,-0.04302847237990176,0.0035
1,2,16,2,32,-0.5568034995818898,-0.6688034995818898,-0.017400109361934056,0.0035
1,2,32,2,64,-0.4704287700432223,-0.6944287700432223,-0.007350449531925349,0.0035
1,2,1,4,4,-1.2610753463276294,-1.2750753463276294,-0.31526883658190735,0.0035
1,2,2,4,8,-0.9888029320596855,-1.0168029320596854,-0.12360036650746069,0.0035
1,2,4,4,16,-0.7479487379141804,-0.8039487379141804,-0.04674679611963627,0.0035
1,2,8,4,32,-0.547028105483811,-0.659028105483811,-0.017094628296369093,0.0035
1,2,16,4,64,-0.3990951938686371,-0.6230951938686371,-0.006235862404197455,0.0035
1,2,32,4,128,-0.3046733037628845,-0.7526733037628845,-0.002380260185647535,0.0035
1,2,1,8,8,-1.0234356962260975,-1.0514356962260976,-0.1279294620282622,0.0035
1,2,2,8,16,-0.807817702504116,-0.863817702504116,-0.05048860640650725,0.0035
1,2,4,8,32,-0.6326702349060739,-0.7446702349060739,-0.01977094484081481,0.0035
1,2,8,8,64,-0.49432031548268357,-0.7183203154826836,-0.007723754929416931,0.0035
1,2,16,8,128,-0.39332773177724023,-0.8413277317772403,-0.0030728729045096893,0.0035
1,2,32,8,256,-0.33026114331015466,-1.2262611433101547,-0.0012900825910552916,0.0035
1,2,1,16,16,-0.9516387583084298,-1.0076387583084299,-0.05947742239427686,0.0035
1,2,2,16,32,-0.7928787983147413,-0.9048787983147413,-0.024777462447335665,0.0035
1,2,4,16,64,-0.6613050785605009,-0.8853050785605009,-0.010332891852507827,0.0035
1,2,8,16,128,-0.5687774174796772,-1.0167774174796773,-0.0044435735740599785,0.0035
