seed,state_idx,N,K,B,real_utility,latency_adjusted_utility,utility_per_diffusion_step,lambda_cost
1,2,16,16,256,-0.49684038041375483,-1.3928403804137548,-0.0019407827359912298,0.0035
1,2,32,16,512,-0.43006260514442984,-2.22206260514443,-0.0008399660256727145,0.0035
1,2,1,32,32,-1.0671674190205689,-1.179167419020569,-0.03334898184439278,0.0035
1,2,2,32,64,-0.8626546082981816,-1.0866546082981816,-0.013478978254659088,0.0035
1,2,4,32,128,-0.7218866559563859,-1.1698866559563859,-0.005639739499659265,0.0035
1,2,8,32,256,-0.6337232914970934,-1.5297232914970933,-0.002475481607410521,0.0035
1,2,16,32,512,-0.5738990426673667,-2.3658990426673667,-0.0011208965677097006,0.0035
1,2,32,32,1024,-0.533098620264093,-4.117098620264093,-0.0005206041213516534,0.0035
1,3,1,2,2,-1.5165363783732362,-1.523536378373236,-0.7582681891866181,0.0035
1,3,2,2,4,-1.1016475049133896,-1.1156475049133896,-0.2754118762283474,0.0035
1,3,4,2,8,-0.8132403965823042,-0.8412403965823042,-0.10165504957278802,0.0035
1,3,8,2,16,-0.5712731771047561,-0.6272731771047562,-0.03570457356904726,0.0035
1,3,16,2,32,-0.36336701166704866,-0.47536701166704864,-0.01135521911459527,0.0035
1,3,32,2,64,-0.2083331597051418,-0.4323331597051418,-0.0032552056203928406,0.0035
1,3,1,4,4,-1.281303056395855,-1.295303056395855,-0.32032576409896374,0.0035
1,3,2,4,8,-0.9984980293247043,-1.0264980293247044,-0.12481225366558804,0.0035
1,3,4,4,16,-0.7478672480307605,-0.8038672480307606,-0.046741703001922534,0.0035
1,3,8,4,32,-0.5528249159040065,-0.6648249159040065,-0.017275778622000203,0.0035
1,3,16,4,64,-0.418846821185876,-0.642846821185876,-0.006544481581029313,0.0035
1,3,32,4,128,-0.3563387867160034,-0.8043387867160035,-0.0027838967712187765,0.0035
1,3,1,8,8,-0.9767794268798796,-1.0047794268798795,-0.12209742835998495,0.0035
1,3,2,8,16,-0.7987572156320047,-0.8547572156320048,-0.0499223259770003,0.0035
1,3,4,8,32,-0.6649049288374014,-0.7769049288374014,-0.020778279026168793,0.0035
1,3,8,8,64,-0.5456260300455673,-0.7696260300455673,-0.00852540671946199,0.0035
1,3,16,8,128,-0.449834952672605,-0.897834952672605,-0.0035143355677547264,0.0035
1,3,32,8,256,-0.3899964644888413,-1.2859964644888413,-0.0015234236894095363,0.0035
1,3,1,16,16,-0.8402429426443606,-0.8962429426443607,-0.05251518391527254,0.0035
1,3,2,16,32,-0.689430741005487,-0.801430741005487,-0.021544710656421467,0.0035
1,3,4,16,64,-0.5778789176684784,-0.8018789176684784,-0.009029358088569975,0.0035
1,3,8,16,128,-0.49821997086109476,-0.9462199708610948,-0.003892343522352303,0.0035
1,3,16,16,256,-0.4514360394810993,-1.3474360394810994,-0.001763422029223044,0.0035
1,3,32,16,512,-0.42719574816406286,-2.2191957481640627,-0.0008343666956329353,0.0035
1,3,1,32,32,-0.8532371793740072,-0.9652371793740072,-0.026663661855437726,0.0035
1,3,2,32,64,-0.731492081201156,-0.955492081201156,-0.011429563768768063,0.0035
1,3,4,32,128,-0.6479685958070738,-1.0959685958070737,-0.005062254654742764,0.0035
1,3,8,32,256,-0.5899326699832047,-1.4859326699832047,-0.0023044244921218934,0.0035
1,3,16,32,512,-0.5549002742484772,-2.346900274248477,-0.001083789598141557,0.0035
1,3,32,32,1024,-0.5362441437160073,-4.120244143716008,-0.0005236759215976633,0.0035
1,4,1,2,2,-1.602108140255523,-1.609108140255523,-0.8010540701277615,0.0035
1,4,2,2,4,-1.290115540196932,-1.304115540196932,-0.322528885049233,0.0035
1,4,4,2,8,-1.0757089969920564,-1.1037089969920564,-0.13446362462400704,0.0035
1,4,8,2,16,-0.9305368497471556,-0.9865368497471556,-0.05815855310919722,0.0035
1,4,16,2,32,-0.8402322152300521,-0.9522322152300521,-0.026257256725939128,0.0035
1,4,32,2,64,-0.7916585869513073,-1.0156585869513073,-0.012369665421114177,0.0035
1,4,1,4,4,-1.3246354406309104,-1.3386354406309104,-0.3311588601577276,0.0035
1,4,2,4,8,-1.046117139750183,-1.074117139750183,-0.13076464246877287,0.0035
1,4,4,4,16,-0.85525325187377,-0.91125325187377,-0.053453328242110625,0.0035
1,4,8,4,32,-0.6906413511206675,-0.8026413511206675,-0.02158254222252086,0.0035
1,4,16,4,64,-0.5192548432278465,-0.7432548432278465,-0.008113356925435102,0.0035
1,4,32,4,128,-0.37136274482597864,-0.8193627448259786,-0.002901271443952958,0.0035
1,4,1,8,8,-0.9220100260091393,-0.9500100260091393,-0.11525125325114241,0.0035
1,4,2,8,16,-0.7424890827308407,-0.7984890827308407,-0.04640556767067754,0.0035
1,4,4,8,32,-0.6039724022458248,-0.7159724022458248,-0.018874137570182026,0.0035
1,4,8,8,64,-0.48379147767085495,-0.7077914776708549,-0.007559241838607109,0.0035
1,4,16,8,128,-0.3765575750894372,-0.8245575750894372,-0.0029418560553862282,0.0035
1,4,32,8,256,-0.2791890451580382,-1.1751890451580382,-0.0010905822076485868,0.0035
1,4,1,16,16,-0.8751405255633042,-0.9311405255633043,-0.054696282847706515,0.0035
1,4,2,16,32,-0.667834515870819,-0.779834515870819,-0.020869828620963093,0.0035
1,4,4,16,64,-0.50412268461703,-0.72812268461703,-0.007876916947141094,0.0035
1,4,8,16,128,-0.38210277837355994,-0.83010277837356,-0.002985177956043437,0.0035
1,4,16,16,256,-0.29935471551427084,-1.195354715514271,-0.0011693543574776205,0.0035
1,4,32,16,512,-0.24513395071188093,-2.037133950711881,-0.00047877724748414245,0.0035
1,4,1,32,32,-0.8353112946480832,-0.9473112946480832,-0.0261034779577526,0.0035
1,4,2,32,64,-0.6556898961451519,-0.8796898961451519,-0.010245154627267999,0.0035
1,4,4,32,128,-0.510959517879246,-0.958959517879246,-0.003991871233431609,0.0035
1,4,8,32,256,-0.3984672462137962,-1.2944672462137963,-0.0015565126805226414,0.0035
1,4,16,32,512,-0.3240328756192617,-2.1160328756192617,-0.0006328767101938705,0.0035
1,4,32,32,1024,-0.28750833504766615,-3.8715083350476664,-0.0002807698584449865,0.0035
