sampler,regime,scorer,N,K,n_rows,exact_selected_real,exact_selected_real_se,exact_selected_real_ci_low,exact_selected_real_ci_high,exact_selected_score,exact_selected_score_se,exact_selected_score_ci_low,exact_selected_score_ci_high,mc_selected_real,mc_selected_real_se,mc_selected_real_ci_low,mc_selected_real_ci_high,oracle_selected_real,oracle_selected_real_se,oracle_selected_real_ci_low,oracle_selected_real_ci_high,score_utility_correlation,score_utility_correlation_se,score_utility_correlation_ci_low,score_utility_correlation_ci_high,tail_rank_correlation,tail_rank_correlation_se,tail_rank_correlation_ci_low,tail_rank_correlation_ci_high,top_score_tail_real_utility,top_score_tail_real_utility_se,top_score_tail_real_utility_ci_low,top_score_tail_real_utility_ci_high,high_n_regret,high_n_regret_se,high_n_regret_ci_low,high_n_regret_ci_high,real_change_high_minus_low,real_change_high_minus_low_se,real_change_high_minus_low_ci_low,real_change_high_minus_low_ci_high,score_change_high_minus_low,score_change_high_minus_low_se,score_change_high_minus_low_ci_low,score_change_high_minus_low_ci_high,runtime_seconds,runtime_seconds_se,runtime_seconds_ci_low,runtime_seconds_ci_high,runtime_per_candidate_ms,runtime_per_candidate_ms_se,runtime_per_candidate_ms_ci_low,runtime_per_candidate_ms_ci_high,mean_pairwise_distance,mean_pairwise_distance_se,mean_pairwise_distance_ci_low,mean_pairwise_distance_ci_high,effective_sample_diversity,effective_sample_diversity_se,effective_sample_diversity_ci_low,effective_sample_diversity_ci_high,duplicate_collapse_rate,duplicate_collapse_rate_se,duplicate_collapse_rate_ci_low,duplicate_collapse_rate_ci_high,trajectory_cluster_count,trajectory_cluster_count_se,trajectory_cluster_count_ci_low,trajectory_cluster_count_ci_high,trajectory_cluster_entropy,trajectory_cluster_entropy_se,trajectory_cluster_entropy_ci_low,trajectory_cluster_entropy_ci_high,new_modes_at_high_n,new_modes_at_high_n_se,new_modes_at_high_n_ci_low,new_modes_at_high_n_ci_high
clean_target_ablation,hidden_obstacle,anti_correlated_score,1,1,1,-0.9894523798072915,0.0,-0.9894523798072915,-0.9894523798072915,0.9961950807162062,0.0,0.9961950807162062,0.9961950807162062,-1.0209348827285722,0.0,-1.0209348827285722,-1.0209348827285722,-0.9894523798072914,0.0,-0.9894523798072914,-0.9894523798072914,-0.9941176470588236,0.0,-0.9941176470588236,-0.9941176470588236,-0.9999999999999998,0.0,-0.9999999999999998,-0.9999999999999998,-1.1831336502381895,0.0,-1.1831336502381895,-1.1831336502381895,0.45848756635086296,0.0,0.45848756635086296,0.45848756635086296,-0.27159585392013097,0.0,-0.27159585392013097,-0.27159585392013097,0.24915280943467988,0.0,0.24915280943467988,0.24915280943467988,0.005979899999147165,0.0,0.005979899999147165,0.005979899999147165,0.3737437499466978,0.0,0.3737437499466978,0.3737437499466978,0.37245169102738634,0.0,0.37245169102738634,0.37245169102738634,1.624621882626161,0.0,1.624621882626161,1.624621882626161,0.0,0.0,0.0,0.0,6.0,0.0,6.0,6.0,0.7737056144657345,0.0,0.7737056144657345,0.7737056144657345,2.0,0.0,2.0,2.0
clean_target_ablation,hidden_obstacle,anti_correlated_score,1,8,1,-0.8551412730537493,0.0,-0.8551412730537493,-0.8551412730537493,0.853684459225582,0.0,0.853684459225582,0.853684459225582,-0.8797875945642335,0.0,-0.8797875945642335,-0.8797875945642335,-0.8551412730537493,0.0,-0.8551412730537493,-0.8551412730537493,-0.9764705882352941,0.0,-0.9764705882352941,-0.9764705882352941,-0.9999999999999998,0.0,-0.9999999999999998,-0.9999999999999998,-0.9166436521628767,0.0,-0.9166436521628767,-0.9166436521628767,0.17671504632798962,0.0,0.17671504632798962,0.17671504632798962,-0.11320534029862794,0.0,-0.11320534029862794,-0.11320534029862794,0.11728871387687179,0.0,0.11728871387687179,0.11728871387687179,0.03486429999975371,0.0,0.03486429999975371,0.03486429999975371,2.179018749984607,0.0,2.179018749984607,2.179018749984607,0.06797155419506543,0.0,0.06797155419506543,0.06797155419506543,1.667974080653494,0.0,1.667974080653494,1.667974080653494,0.0,0.0,0.0,0.0,6.0,0.0,6.0,6.0,0.8038103185351642,0.0,0.8038103185351642,0.8038103185351642,2.0,0.0,2.0,2.0
clean_target_ablation,hidden_obstacle,anti_correlated_score,2,1,1,-1.0669961533000052,0.0,-1.0669961533000052,-1.0669961533000052,1.0735978191842195,0.0,1.0735978191842195,1.0735978191842195,-1.1336978194213037,0.0,-1.1336978194213037,-1.1336978194213037,-0.9118349087506222,0.0,-0.9118349087506222,-0.9118349087506222,-0.9941176470588236,0.0,-0.9941176470588236,-0.9941176470588236,-0.9999999999999998,0.0,-0.9999999999999998,-0.9999999999999998,-1.1831336502381895,0.0,-1.1831336502381895,-1.1831336502381895,0.45848756635086296,0.0,0.45848756635086296,0.45848756635086296,-0.27159585392013097,0.0,-0.27159585392013097,-0.27159585392013097,0.24915280943467988,0.0,0.24915280943467988,0.24915280943467988,0.005979899999147165,0.0,0.005979899999147165,0.005979899999147165,0.3737437499466978,0.0,0.3737437499466978,0.3737437499466978,0.37245169102738634,0.0,0.37245169102738634,0.37245169102738634,1.624621882626161,0.0,1.624621882626161,1.624621882626161,0.0,0.0,0.0,0.0,6.0,0.0,6.0,6.0,0.7737056144657345,0.0,0.7737056144657345,0.7737056144657345,2.0,0.0,2.0,2.0
clean_target_ablation,hidden_obstacle,anti_correlated_score,2,8,1,-0.8818233449122207,0.0,-0.8818233449122207,-0.8818233449122207,0.8852570407421319,0.0,0.8852570407421319,0.8852570407421319,-0.887999518680396,0.0,-0.887999518680396,-0.887999518680396,-0.8282764722540439,0.0,-0.8282764722540439,-0.8282764722540439,-0.9764705882352941,0.0,-0.9764705882352941,-0.9764705882352941,-0.9999999999999998,0.0,-0.9999999999999998,-0.9999999999999998,-0.9166436521628767,0.0,-0.9166436521628767,-0.9166436521628767,0.17671504632798962,0.0,0.17671504632798962,0.17671504632798962,-0.11320534029862794,0.0,-0.11320534029862794,-0.11320534029862794,0.11728871387687179,0.0,0.11728871387687179,0.11728871387687179,0.03486429999975371,0.0,0.03486429999975371,0.03486429999975371,2.179018749984607,0.0,2.179018749984607,2.179018749984607,0.06797155419506543,0.0,0.06797155419506543,0.06797155419506543,1.667974080653494,0.0,1.667974080653494,1.667974080653494,0.0,0.0,0.0,0.0,6.0,0.0,6.0,6.0,0.8038103185351642,0.0,0.8038103185351642,0.8038103185351642,2.0,0.0,2.0,2.0
clean_target_ablation,hidden_obstacle,anti_correlated_score,4,1,1,-1.1416035520240149,0.0,-1.1416035520240149,-1.1416035520240149,1.1440511793936472,0.0,1.1440511793936472,1.1440511793936472,-1.1428256405727968,0.0,-1.1428256405727968,-1.1428256405727968,-0.8591348210948828,0.0,-0.8591348210948828,-0.8591348210948828,-0.9941176470588236,0.0,-0.9941176470588236,-0.9941176470588236,-0.9999999999999998,0.0,-0.9999999999999998,-0.9999999999999998,-1.1831336502381895,0.0,-1.1831336502381895,-1.1831336502381895,0.45848756635086296,0.0,0.45848756635086296,0.45848756635086296,-0.27159585392013097,0.0,-0.27159585392013097,-0.27159585392013097,0.24915280943467988,0.0,0.24915280943467988,0.24915280943467988,0.005979899999147165,0.0,0.005979899999147165,0.005979899999147165,0.3737437499466978,0.0,0.3737437499466978,0.3737437499466978,0.37245169102738634,0.0,0.37245169102738634,0.37245169102738634,1.624621882626161,0.0,1.624621882626161,1.624621882626161,0.0,0.0,0.0,0.0,6.0,0.0,6.0,6.0,0.7737056144657345,0.0,0.7737056144657345,0.7737056144657345,2.0,0.0,2.0,2.0
clean_target_ablation,hidden_obstacle,anti_correlated_score,4,8,1,-0.9085611755357299,0.0,-0.9085611755357299,-0.9085611755357299,0.9137448084602753,0.0,0.9137448084602753,0.9137448084602753,-0.8914587090254488,0.0,-0.8914587090254488,-0.8914587090254488,-0.8105984154398371,0.0,-0.8105984154398371,-0.8105984154398371,-0.9764705882352941,0.0,-0.9764705882352941,-0.9764705882352941,-0.9999999999999998,0.0,-0.9999999999999998,-0.9999999999999998,-0.9166436521628767,0.0,-0.9166436521628767,-0.9166436521628767,0.17671504632798962,0.0,0.17671504632798962,0.17671504632798962,-0.11320534029862794,0.0,-0.11320534029862794,-0.11320534029862794,0.11728871387687179,0.0,0.11728871387687179,0.11728871387687179,0.03486429999975371,0.0,0.03486429999975371,0.03486429999975371,2.179018749984607,0.0,2.179018749984607,2.179018749984607,0.06797155419506543,0.0,0.06797155419506543,0.06797155419506543,1.667974080653494,0.0,1.667974080653494,1.667974080653494,0.0,0.0,0.0,0.0,6.0,0.0,6.0,6.0,0.8038103185351642,0.0,0.8038103185351642,0.8038103185351642,2.0,0.0,2.0,2.0
clean_target_ablation,hidden_obstacle,anti_correlated_score,8,1,1,-1.2090097594298115,0.0,-1.2090097594298115,-1.2090097594298115,1.2030647386627933,0.0,1.2030647386627933,1.2030647386627933,-1.215224237168323,0.0,-1.215224237168323,-1.215224237168323,-0.8240646828855069,0.0,-0.8240646828855069,-0.8240646828855069,-0.9941176470588236,0.0,-0.9941176470588236,-0.9941176470588236,-0.9999999999999998,0.0,-0.9999999999999998,-0.9999999999999998,-1.1831336502381895,0.0,-1.1831336502381895,-1.1831336502381895,0.45848756635086296,0.0,0.45848756635086296,0.45848756635086296,-0.27159585392013097,0.0,-0.27159585392013097,-0.27159585392013097,0.24915280943467988,0.0,0.24915280943467988,0.24915280943467988,0.005979899999147165,0.0,0.005979899999147165,0.005979899999147165,0.3737437499466978,0.0,0.3737437499466978,0.3737437499466978,0.37245169102738634,0.0,0.37245169102738634,0.37245169102738634,1.624621882626161,0.0,1.624621882626161,1.624621882626161,0.0,0.0,0.0,0.0,6.0,0.0,6.0,6.0,0.7737056144657345,0.0,0.7737056144657345,0.7737056144657345,2.0,0.0,2.0,2.0
clean_target_ablation,hidden_obstacle,anti_correlated_score,8,8,1,-0.936948787718791,0.0,-0.936948787718791,-0.936948787718791,0.9420895080331939,0.0,0.9420895080331939,0.9420895080331939,-0.9351993087501704,0.0,-0.9351993087501704,-0.9351993087501704,-0.7988214138897616,0.0,-0.7988214138897616,-0.7988214138897616,-0.9764705882352941,0.0,-0.9764705882352941,-0.9764705882352941,-0.9999999999999998,0.0,-0.9999999999999998,-0.9999999999999998,-0.9166436521628767,0.0,-0.9166436521628767,-0.9166436521628767,0.17671504632798962,0.0,0.17671504632798962,0.17671504632798962,-0.11320534029862794,0.0,-0.11320534029862794,-0.11320534029862794,0.11728871387687179,0.0,0.11728871387687179,0.11728871387687179,0.03486429999975371,0.0,0.03486429999975371,0.03486429999975371,2.179018749984607,0.0,2.179018749984607,2.179018749984607,0.06797155419506543,0.0,0.06797155419506543,0.06797155419506543,1.667974080653494,0.0,1.667974080653494,1.667974080653494,0.0,0.0,0.0,0.0,6.0,0.0,6.0,6.0,0.8038103185351642,0.0,0.8038103185351642,0.8038103185351642,2.0,0.0,2.0,2.0
clean_target_ablation,hidden_obstacle,anti_correlated_score,16,1,1,-1.2610482337274225,0.0,-1.2610482337274225,-1.2610482337274225,1.245347890150886,0.0,1.245347890150886,1.245347890150886,-1.2695090267279614,0.0,-1.2695090267279614,-1.2695090267279614,-0.8025606673765595,0.0,-0.8025606673765595,-0.8025606673765595,-0.9941176470588236,0.0,-0.9941176470588236,-0.9941176470588236,-0.9999999999999998,0.0,-0.9999999999999998,-0.9999999999999998,-1.1831336502381895,0.0,-1.1831336502381895,-1.1831336502381895,0.45848756635086296,0.0,0.45848756635086296,0.45848756635086296,-0.27159585392013097,0.0,-0.27159585392013097,-0.27159585392013097,0.24915280943467988,0.0,0.24915280943467988,0.24915280943467988,0.005979899999147165,0.0,0.005979899999147165,0.005979899999147165,0.3737437499466978,0.0,0.3737437499466978,0.3737437499466978,0.37245169102738634,0.0,0.37245169102738634,0.37245169102738634,1.624621882626161,0.0,1.624621882626161,1.624621882626161,0.0,0.0,0.0,0.0,6.0,0.0,6.0,6.0,0.7737056144657345,0.0,0.7737056144657345,0.7737056144657345,2.0,0.0,2.0,2.0
clean_target_ablation,hidden_obstacle,anti_correlated_score,16,8,1,-0.9683466133523773,0.0,-0.9683466133523773,-0.9683466133523773,0.9709731731024538,0.0,0.9709731731024538,0.9709731731024538,-0.9769883360082587,0.0,-0.9769883360082587,-0.9769883360082587,-0.7916315670243876,0.0,-0.7916315670243876,-0.7916315670243876,-0.9764705882352941,0.0,-0.9764705882352941,-0.9764705882352941,-0.9999999999999998,0.0,-0.9999999999999998,-0.9999999999999998,-0.9166436521628767,0.0,-0.9166436521628767,-0.9166436521628767,0.17671504632798962,0.0,0.17671504632798962,0.17671504632798962,-0.11320534029862794,0.0,-0.11320534029862794,-0.11320534029862794,0.11728871387687179,0.0,0.11728871387687179,0.11728871387687179,0.03486429999975371,0.0,0.03486429999975371,0.03486429999975371,2.179018749984607,0.0,2.179018749984607,2.179018749984607,0.06797155419506543,0.0,0.06797155419506543,0.06797155419506543,1.667974080653494,0.0,1.667974080653494,1.667974080653494,0.0,0.0,0.0,0.0,6.0,0.0,6.0,6.0,0.8038103185351642,0.0,0.8038103185351642,0.8038103185351642,2.0,0.0,2.0,2.0
