sampler,regime,scorer,N,K,n_rows,exact_selected_real,exact_selected_real_se,exact_selected_real_ci_low,exact_selected_real_ci_high,exact_selected_normalized_progress,exact_selected_normalized_progress_se,exact_selected_normalized_progress_ci_low,exact_selected_normalized_progress_ci_high,exact_selected_final_progress,exact_selected_final_progress_se,exact_selected_final_progress_ci_low,exact_selected_final_progress_ci_high,exact_selected_success,exact_selected_success_se,exact_selected_success_ci_low,exact_selected_success_ci_high,exact_selected_negative_final_distance,exact_selected_negative_final_distance_se,exact_selected_negative_final_distance_ci_low,exact_selected_negative_final_distance_ci_high
consistency_1step,fetch_aligned,anti_oracle_negative_control,1,1,12,-0.032026421642680235,0.0028769461750943384,-0.037665132531325404,-0.02638771075403507,0.0005763198831758187,0.0005763198831758189,-0.0005532463314231174,0.0017058860977747546,-0.03386019447636204,0.01878493977446078,-0.07067799988605913,0.0029576109333350475,0.0,0.0,0.0,0.0,-0.184934487220638,0.02276255107674014,-0.2295482675273021,-0.14032070691397389
consistency_1step,fetch_aligned,anti_oracle_negative_control,2,1,12,-0.038681838598108746,0.005083374279292943,-0.04864506910546017,-0.028718608090757325,7.203998539697733e-05,7.203998539697736e-05,-6.915579142788968e-05,0.00021323576222184433,-0.06015353239448517,0.0341704609508303,-0.12712640519324483,0.006819340404274503,0.0,0.0,0.0,0.0,-0.19077988553984052,0.02476172868679719,-0.2393119819609153,-0.14224778911876573
consistency_1step,fetch_aligned,anti_oracle_negative_control,4,1,12,-0.04678010061862801,0.008608747624331817,-0.06365293591431312,-0.0299072653229429,1.1256247718277708e-06,1.1256247718277712e-06,-1.0805592410607762e-06,3.3318087847163177e-06,-0.10343057373699016,0.05939877723810392,-0.21985003784939136,0.012988890375411039,0.0,0.0,0.0,0.0,-0.20020598928731856,0.028404186175994724,-0.2558771712024387,-0.14453480737219843
consistency_1step,fetch_aligned,anti_oracle_negative_control,8,1,12,-0.055865199829441846,0.013333996353350091,-0.08199935245199644,-0.029731047206887257,2.7481073530951436e-10,2.7481073530951446e-10,-2.6380840846210357e-10,8.134298790811322e-10,-0.15893004292069135,0.09266889657481599,-0.3405577426943978,0.022697656853015113,0.0,0.0,0.0,0.0,-0.2120863708180231,0.03366252999869421,-0.2780637172439629,-0.1461090243920833
consistency_1step,fetch_aligned,diffusion_internal_score,1,1,12,-0.032026421642680235,0.0028769461750943384,-0.037665132531325404,-0.02638771075403507,0.0005763198831758187,0.0005763198831758189,-0.0005532463314231174,0.0017058860977747546,-0.03386019447636205,0.01878493977446078,-0.07067799988605913,0.0029576109333350406,0.0,0.0,0.0,0.0,-0.184934487220638,0.022762551076740134,-0.22954826752730206,-0.1403207069139739
consistency_1step,fetch_aligned,diffusion_internal_score,2,1,12,-0.03124694847210256,0.0019448424671231618,-0.03505876966326798,-0.027435127280937138,0.0003601999269848867,0.00036019992698488665,-0.00034577895713944814,0.0010661788111092215,-0.020984535903203205,0.013164230785605205,-0.04678595412716283,0.0048168823207564125,0.0,0.0,0.0,0.0,-0.18159313988482895,0.021397794704713185,-0.22353204685464867,-0.13965423291500922
consistency_1step,fetch_aligned,diffusion_internal_score,4,1,12,-0.031227853654405283,0.002397922263941258,-0.035927694929456896,-0.02652801237935367,7.316561016880511e-05,7.316561016880511e-05,-7.023635066895042e-05,0.00021656757100656064,-0.0160275475752605,0.015326866850819347,-0.04606765459870725,0.014012559448186253,0.0,0.0,0.0,0.0,-0.18024809815842746,0.020935241877852995,-0.221280418246654,-0.1392157780702009
consistency_1step,fetch_aligned,diffusion_internal_score,8,1,12,-0.03117973459093393,0.0023112642913799657,-0.035709729360792156,-0.02664973982107571,1.7326816861264883e-06,1.7326816861264883e-06,-1.6633120153535622e-06,5.128675387606539e-06,-0.013725576033286759,0.013722664803871104,-0.04062150482078952,0.013170352754216005,0.0,0.0,0.0,0.0,-0.17981969854270005,0.020877757809371508,-0.22073935192701805,-0.13890004515838206
consistency_1step,fetch_aligned,goal_progress_heuristic,1,1,12,-0.032026421642680235,0.0028769461750943384,-0.037665132531325404,-0.02638771075403507,0.0005763198831758187,0.0005763198831758189,-0.0005532463314231174,0.0017058860977747546,-0.03386019447636205,0.01878493977446078,-0.07067799988605913,0.0029576109333350406,0.0,0.0,0.0,0.0,-0.184934487220638,0.022762551076740134,-0.22954826752730206,-0.1403207069139739
consistency_1step,fetch_aligned,goal_progress_heuristic,2,1,12,-0.03307264726149158,0.004703433407551551,-0.042291207343975123,-0.02385408717900804,0.0006483598685727961,0.000648359868572796,-0.0006224021228510066,0.0019191218599965989,-0.04446737613913292,0.030635954305987645,-0.10451274321088348,0.015577990932617636,0.0,0.0,0.0,0.0,-0.1870281201081533,0.023408782007966356,-0.23290848976571657,-0.14114775045059005
consistency_1step,fetch_aligned,goal_progress_heuristic,4,1,12,-0.03500952469251753,0.008282150217667423,-0.051242240833696245,-0.018776808551338817,0.00041535554080444746,0.0004153555408044474,-0.0003987263599514261,0.001229437441560321,-0.05918786493333977,0.053349086765732606,-0.1637501536022781,0.04537442373559855,0.0,0.0,0.0,0.0,-0.19006356033494395,0.025391672273379545,-0.23983032349801214,-0.14029679717187576
consistency_1step,fetch_aligned,goal_progress_heuristic,8,1,12,-0.03876200098028931,0.013264059480391966,-0.06475907985065463,-0.012764922109924002,8.933794713103472e-05,8.933794713103474e-05,-8.576121169853677e-05,0.00026443710596060625,-0.08577403723825411,0.08514515116279225,-0.2526554669755456,0.08110739249903737,0.0,0.0,0.0,0.0,-0.19571813254466183,0.029617721412832886,-0.25376779981795505,-0.1376684652713686
consistency_1step,fetch_aligned,learned_value_critic_from_pilot_rollouts,1,1,12,-0.032026421642680235,0.0028769461750943375,-0.0376651325313254,-0.026387710754035072,0.0005763198831758187,0.0005763198831758189,-0.0005532463314231174,0.0017058860977747546,-0.033860194476362036,0.018784939774460777,-0.07067799988605912,0.0029576109333350475,0.0,0.0,0.0,0.0,-0.184934487220638,0.022762551076740134,-0.22954826752730206,-0.1403207069139739
consistency_1step,fetch_aligned,learned_value_critic_from_pilot_rollouts,2,1,12,-0.02558469071636803,0.0012567387186170327,-0.028047853342834432,-0.02312152808990163,0.0010805997809546601,0.0010805997809546603,-0.0010373368714183453,0.0031985364333276655,-0.007566856558238906,0.004153562684580331,-0.015707689827545855,0.0005739767110680425,0.0,0.0,0.0,0.0,-0.17908908890143546,0.021141708944391335,-0.2205260770040708,-0.13765210079880014
consistency_1step,fetch_aligned,learned_value_critic_from_pilot_rollouts,4,1,12,-0.02255441333088144,0.001313217990808159,-0.02512827329671548,-0.019980553365047397,0.0019079339882480716,0.0019079339882480716,-0.0018315479135980147,0.0056474158900941575,-0.004823101929234289,0.004666723243993031,-0.013969711413276555,0.004323507554807977,0.0,0.0,0.0,0.0,-0.1783298949550137,0.02083603401823357,-0.21916777121140288,-0.1374920186986245
consistency_1step,fetch_aligned,learned_value_critic_from_pilot_rollouts,8,1,12,-0.020641636551883755,0.001730164893870919,-0.02403269743118632,-0.01725057567258119,0.0030263298636835257,0.0030263298636835265,-0.002905167674474196,0.008957827401841248,-0.007399544309905266,0.007399072098429399,-0.021901459141842085,0.007102370522031555,0.0,0.0,0.0,0.0,-0.17875127077374278,0.0208264869586448,-0.21957043513717972,-0.13793210641030584
consistency_1step,fetch_aligned,misaligned_speed_scorer,1,1,12,-0.032026421642680235,0.0028769461750943384,-0.037665132531325404,-0.02638771075403507,0.0005763198831758187,0.0005763198831758189,-0.0005532463314231174,0.0017058860977747546,-0.03386019447636205,0.01878493977446078,-0.07067799988605913,0.0029576109333350406,0.0,0.0,0.0,0.0,-0.184934487220638,0.022762551076740134,-0.22954826752730206,-0.1403207069139739
consistency_1step,fetch_aligned,misaligned_speed_scorer,2,1,12,-0.0355950330131721,0.004822558393781541,-0.04504707377832525,-0.02614299224801895,0.0006483598685727961,0.000648359868572796,-0.0006224021228510066,0.0019191218599965989,-0.045621655627630105,0.030855464577192772,-0.10609725492517932,0.014853943669919122,0.0,0.0,0.0,0.0,-0.18754281058178934,0.02378066440249133,-0.23415205633910607,-0.1409335648244726
consistency_1step,fetch_aligned,misaligned_speed_scorer,4,1,12,-0.04022729590606295,0.00817540393370107,-0.056250793175184124,-0.024203798636941772,0.00041535554080444746,0.0004153555408044474,-0.0003987263599514261,0.001229437441560321,-0.06384377874692963,0.05342661970263355,-0.16855802917980942,0.04087047168595015,0.0,0.0,0.0,0.0,-0.19152655374053404,0.02604415442035888,-0.2425721584122371,-0.140480949068831
consistency_1step,fetch_aligned,misaligned_speed_scorer,8,1,12,-0.04599531002094079,0.012849238852301263,-0.07117935540020404,-0.02081126464167754,8.933794713103472e-05,8.933794713103474e-05,-8.576121169853677e-05,0.00026443710596060625,-0.09222051591175416,0.08482594600460874,-0.25847631503532653,0.07403528321181822,0.0,0.0,0.0,0.0,-0.1975333543476577,0.03014534926484651,-0.2566171532081378,-0.13844955548717755
consistency_1step,fetch_aligned,oracle_real_utility_selector,1,1,12,-0.032026421642680235,0.0028769461750943384,-0.037665132531325404,-0.02638771075403507,0.0005763198831758187,0.0005763198831758189,-0.0005532463314231174,0.0017058860977747546,-0.033860194476362036,0.018784939774460777,-0.07067799988605912,0.0029576109333350475,0.0,0.0,0.0,0.0,-0.184934487220638,0.022762551076740134,-0.22954826752730206,-0.1403207069139739
consistency_1step,fetch_aligned,oracle_real_utility_selector,2,1,12,-0.02537100468725172,0.001226221232908329,-0.027774354140830345,-0.022967655233673095,0.0010805997809546601,0.0010805997809546603,-0.0010373368714183453,0.0031985364333276655,-0.007566856558238906,0.004153562684580331,-0.015707689827545855,0.0005739767110680425,0.0,0.0,0.0,0.0,-0.17908908890143546,0.021141708944391335,-0.2205260770040708,-0.13765210079880014
consistency_1step,fetch_aligned,oracle_real_utility_selector,4,1,12,-0.022182692144400332,0.0013201281235437924,-0.02477009572152461,-0.019595288567276055,0.0019079339882480716,0.0019079339882480716,-0.0018315479135980147,0.0056474158900941575,-0.004823101929234289,0.004666723243993031,-0.013969711413276555,0.004323507554807977,0.0,0.0,0.0,0.0,-0.1783298949550137,0.02083603401823357,-0.21916777121140288,-0.1374920186986245
consistency_1step,fetch_aligned,oracle_real_utility_selector,8,1,12,-0.020146882538200402,0.0016881329295583957,-0.02345556228125095,-0.016838202795149856,0.0030263298636835257,0.0030263298636835265,-0.002905167674474196,0.008957827401841248,-0.007399544309905266,0.007399072098429399,-0.021901459141842085,0.007102370522031555,0.0,0.0,0.0,0.0,-0.17875127077374278,0.0208264869586448,-0.21957043513717972,-0.13793210641030584
consistency_1step,fetch_aligned,random_sample_selection,1,1,12,-0.032026421642680235,0.0028769461750943375,-0.0376651325313254,-0.026387710754035072,0.0005763198831758187,0.0005763198831758189,-0.0005532463314231174,0.0017058860977747546,-0.03386019447636205,0.01878493977446078,-0.07067799988605913,0.0029576109333350406,0.0,0.0,0.0,0.0,-0.184934487220638,0.022762551076740134,-0.22954826752730206,-0.1403207069139739
consistency_1step,fetch_aligned,random_sample_selection,2,1,12,-0.031198169902542202,0.0021759051594797685,-0.03546286564889743,-0.026933474156186975,0.0005042798977788413,0.0005042798977788413,-0.0004840905399952275,0.0014926503355529102,-0.026012355433974566,0.015464552146511473,-0.05632232067817863,0.004297609810229499,0.0,0.0,0.0,0.0,-0.18276197675655478,0.021794133965328106,-0.225477694402839,-0.14004625911027058
consistency_1step,fetch_aligned,random_sample_selection,4,1,12,-0.03213934496655479,0.0034219708213028767,-0.03884628453245537,-0.025432405400654202,0.0001969843350698599,0.00019698433506985994,-0.00018909786718563582,0.0005830665373253556,-0.028835597284322178,0.023772313720174163,-0.07542847600505091,0.01775728143640656,0.0,0.0,0.0,0.0,-0.18289262652341232,0.021646988516502683,-0.2253199443895097,-0.14046530865731494
consistency_1step,fetch_aligned,random_sample_selection,8,1,12,-0.033797342278547776,0.005352765775345396,-0.04428857041590337,-0.023306114141192186,1.620696311487861e-05,1.6206963114878608e-05,-1.5558100889052543e-05,4.797202711880977e-05,-0.0391581984431269,0.036888020310959765,-0.11145738971359002,0.03314099282733622,0.0,0.0,0.0,0.0,-0.1843488033036753,0.021772251046122376,-0.22702163121643967,-0.14167597539091095
consistency_1step,fetch_aligned,uncertainty_aware_critic,1,1,12,-0.032026421642680235,0.0028769461750943384,-0.037665132531325404,-0.02638771075403507,0.0005763198831758187,0.0005763198831758189,-0.0005532463314231174,0.0017058860977747546,-0.033860194476362036,0.018784939774460777,-0.07067799988605912,0.0029576109333350475,0.0,0.0,0.0,0.0,-0.184934487220638,0.022762551076740134,-0.22954826752730206,-0.1403207069139739
