seed,episode_idx,env_seed,regime,sampler,K,candidates,sample_runtime_seconds,rollout_runtime_seconds,runtime_per_candidate_ms
1,0,31100,pusht_aligned,ddim_eps,1,12,0.00864250000086031,0.7502632999985508,63.242149999950925
1,0,31100,pusht_aligned,consistency_1step,1,12,0.010378900000432623,1.0466504999985773,88.08578333325083
1,0,31100,pusht_aligned,ddim_eps,8,12,0.02364329999909387,1.0671339999989868,90.8981083331734
1,0,31100,pusht_aligned,ddpm_eps,8,12,0.03335969999898225,0.8852860000006331,76.55380833330128
1,0,32100,pusht_low_diversity,ddim_eps,1,12,0.014989799999966635,0.7975375999994867,67.7106166666211
1,0,32100,pusht_low_diversity,consistency_1step,1,12,0.006488799999715411,0.581491000000824,48.99831666671162
1,0,32100,pusht_low_diversity,ddim_eps,8,12,0.04146330000003218,1.1212875999990501,96.89590833325686
1,0,32100,pusht_low_diversity,ddpm_eps,8,12,0.048052199999801815,1.001307700000325,87.4466583333439
1,0,33100,pusht_high_temp_misaligned,ddim_eps,1,12,0.010240199999316246,0.854795400000512,72.08629999998568
1,0,33100,pusht_high_temp_misaligned,consistency_1step,1,12,0.01169099999970058,0.899271399999634,75.91353333327788
1,0,33100,pusht_high_temp_misaligned,ddim_eps,8,12,0.036080199999560136,0.8005008999989514,69.71509166654262
1,0,33100,pusht_high_temp_misaligned,ddpm_eps,8,12,0.025769300000320072,0.8357072999988304,71.78971666659588
2,0,31200,pusht_aligned,ddim_eps,1,12,0.005428000000392785,0.8867893999995431,74.35144999999466
2,0,31200,pusht_aligned,consistency_1step,1,12,0.006559699999343138,1.0622961000008218,89.0713166666804
2,0,31200,pusht_aligned,ddim_eps,8,12,0.014534800000546966,0.6759313999991718,57.53884999997657
2,0,31200,pusht_aligned,ddpm_eps,8,12,0.01682000000073458,0.7751719000007142,65.99932500012073
2,0,32200,pusht_low_diversity,ddim_eps,1,12,0.00812930000029155,0.5443887999990693,46.043174999946736
2,0,32200,pusht_low_diversity,consistency_1step,1,12,0.008764299998802016,0.6029467999996996,50.97592499987513
2,0,32200,pusht_low_diversity,ddim_eps,8,12,0.014861400000881986,0.5656620999998268,48.376958333392395
2,0,32200,pusht_low_diversity,ddpm_eps,8,12,0.024963200001366204,0.6983577999999397,60.27675000010883
2,0,33200,pusht_high_temp_misaligned,ddim_eps,1,12,0.008842299999741954,0.7035336000008101,59.36465833337934
2,0,33200,pusht_high_temp_misaligned,consistency_1step,1,12,0.027044100001148763,0.9334481000005326,80.04101666680678
2,0,33200,pusht_high_temp_misaligned,ddim_eps,8,12,0.013569800001278054,0.827982200000406,70.12933333347367
2,0,33200,pusht_high_temp_misaligned,ddpm_eps,8,12,0.022804099999120808,0.6649521999988792,57.31302499983334
