seed,episode_idx,within_regime,regime,negative_control,harmful_high_N,lambda_cost,runtime_per_step_ms,runtime_overhead_ms,scorer_family,policy,score_source,N,K,expected_real_utility,runtime_ms,latency_adjusted_utility
1,0,0,nominal_aligned,False,False,0.0007,0.02,0.0,aligned,fixed_low_N,score,4,16,1.3012195001338922,1.28,1.3003235001338922
1,0,0,nominal_aligned,False,False,0.0007,0.02,0.0,aligned,fixed_high_N,score,96,16,1.7186791781948054,30.72,1.6971751781948055
1,0,0,nominal_aligned,False,False,0.0007,0.02,0.0,aligned,oracle_high_N,oracle,96,16,1.7186791920341586,30.72,1.6971751920341587
1,0,0,nominal_aligned,False,False,0.0007,0.02,0.0,aligned,audit_then_sample,score,4,2,1.3012195001338922,0.16,1.3011075001338923
1,0,0,nominal_aligned,False,False,0.0007,0.02,0.0,aligned,adaptive_ats,score,1,2,0.9950664482132441,0.04,0.995038448213244
1,1,1,nominal_aligned,False,False,0.0007,0.02,0.0,aligned,fixed_low_N,score,4,16,1.4204934126024065,1.28,1.4195974126024065
1,1,1,nominal_aligned,False,False,0.0007,0.02,0.0,aligned,fixed_high_N,score,96,16,1.8701708062698632,30.72,1.8486668062698632
1,1,1,nominal_aligned,False,False,0.0007,0.02,0.0,aligned,oracle_high_N,oracle,96,16,1.87017086774074,30.72,1.84866686774074
1,1,1,nominal_aligned,False,False,0.0007,0.02,0.0,aligned,audit_then_sample,score,4,2,1.4204934126024065,0.16,1.4203814126024066
1,1,1,nominal_aligned,False,False,0.0007,0.02,0.0,aligned,adaptive_ats,score,1,2,1.120068007682107,0.04,1.120040007682107
1,2,2,nominal_aligned,False,False,0.0007,0.02,0.0,aligned,fixed_low_N,score,4,16,1.4753086337753425,1.28,1.4744126337753425
1,2,2,nominal_aligned,False,False,0.0007,0.02,0.0,aligned,fixed_high_N,score,96,16,1.780147382937447,30.72,1.758643382937447
