seed,N,K,B,real_utility,latency_adjusted_utility,utility_per_diffusion_step
1,1,2,2.0,-1.5376285674687942,-1.544628567468794,-0.7688142837343971
1,1,4,4.0,-1.2910656693992812,-1.3050656693992813,-0.3227664173498203
1,1,8,8.0,-0.966939723397916,-0.994939723397916,-0.1208674654247395
1,1,16,16.0,-0.8599051485183389,-0.9159051485183389,-0.05374407178239618
1,1,32,32.0,-0.8541332850627045,-0.9661332850627045,-0.026691665158209515
1,2,2,4.0,-1.1580267356201237,-1.1720267356201237,-0.2895066839050309
1,2,4,8.0,-0.9830049082333094,-1.0110049082333095,-0.12287561352916368
1,2,8,16.0,-0.7665764446147656,-0.8225764446147656,-0.04791102778842285
1,2,16,32.0,-0.6843385688981745,-0.7963385688981746,-0.021385580278067952
1,2,32,64.0,-0.7025773090712283,-0.9265773090712284,-0.010977770454237942
1,4,2,8.0,-0.879466460435312,-0.907466460435312,-0.109933307554414
1,4,4,16.0,-0.7501216551965483,-0.8061216551965483,-0.04688260344978427
1,4,8,32.0,-0.6134081155674813,-0.7254081155674813,-0.01916900361148379
1,4,16,64.0,-0.5452833232591925,-0.7692833232591925,-0.008520051925924883
1,4,32,128.0,-0.5814746137911635,-1.0294746137911635,-0.004542770420243465
1,8,2,16.0,-0.6669333523772447,-0.7229333523772448,-0.041683334523577795
1,8,4,32.0,-0.5731388649191044,-0.6851388649191044,-0.01791058952872201
1,8,8,64.0,-0.4937565637478081,-0.717756563747808,-0.007714946308559501
1,8,16,128.0,-0.4354722605224155,-0.8834722605224155,-0.003402127035331371
1,8,32,256.0,-0.4856068708305448,-1.381606870830545,-0.0018969018391818157
1,16,2,32.0,-0.5056393667695196,-0.6176393667695196,-0.015801230211547487
1,16,4,64.0,-0.4407864522598199,-0.6647864522598199,-0.006887288316559686
1,16,8,128.0,-0.3995771231104247,-0.8475771231104247,-0.003121696274300193
1,16,16,256.0,-0.352059076362322,-1.248059076362322,-0.0013752307670403202
1,16,32,512.0,-0.41333465427588184,-2.205334654275882,-0.0008072942466325817
1,32,2,64.0,-0.39479099375251625,-0.6187909937525162,-0.006168609277383066
1,32,4,128.0,-0.3489801558198008,-0.7969801558198009,-0.0027264074673421937
1,32,8,256.0,-0.32447456399804964,-1.2204745639980497,-0.0012674787656173814
1,32,16,512.0,-0.293082642632787,-2.085082642632787,-0.0005724270363921621
1,32,32,1024.0,-0.3605275682149232,-3.9445275682149235,-0.00035207770333488595
2,1,2,2.0,-1.5688763882534382,-1.5758763882534381,-0.7844381941267191
2,1,4,4.0,-1.3265405948564948,-1.3405405948564948,-0.3316351487141237
2,1,8,8.0,-0.93036870145132,-0.95836870145132,-0.116296087681415
2,1,16,16.0,-0.8170431551321428,-0.8730431551321428,-0.05106519719575892
2,1,32,32.0,-0.8127509554175366,-0.9247509554175366,-0.02539846735679802
2,2,2,4.0,-1.1944513781892365,-1.2084513781892365,-0.29861284454730913
2,2,4,8.0,-1.007678833881461,-1.035678833881461,-0.12595985423518263
2,2,8,16.0,-0.7502504763648673,-0.8062504763648674,-0.046890654772804206
2,2,16,32.0,-0.6658338670771063,-0.7778338670771063,-0.020807308346159573
2,2,32,64.0,-0.6798630937658168,-0.9038630937658167,-0.010622860840090887
2,4,2,8.0,-0.9189886127667736,-0.9469886127667736,-0.1148735765958467
2,4,4,16.0,-0.7726119259965725,-0.8286119259965725,-0.04828824537478578
2,4,8,32.0,-0.6143241757430357,-0.7263241757430356,-0.019197630491969864
2,4,16,64.0,-0.5463279921635176,-0.7703279921635175,-0.008536374877554962
2,4,32,128.0,-0.5679370797151713,-1.0159370797151712,-0.0044370084352747755
2,8,2,16.0,-0.706195917736679,-0.762195917736679,-0.04413724485854244
2,8,4,32.0,-0.5969638739445495,-0.7089638739445495,-0.018655121060767173
2,8,8,64.0,-0.5079468496006038,-0.7319468496006037,-0.007936669525009434
2,8,16,128.0,-0.4470864982637355,-0.8950864982637354,-0.0034928632676854334
2,8,32,256.0,-0.474558050375111,-1.3705580503751111,-0.0018537423842777774
2,16,2,32.0,-0.5336787776772386,-0.6456787776772386,-0.016677461802413706
2,16,4,64.0,-0.46739746004980587,-0.6913974600498058,-0.007303085313278217
2,16,8,128.0,-0.42593063906895773,-0.8739306390689577,-0.0033275831177262323
2,16,16,256.0,-0.3663395244957345,-1.2623395244957345,-0.0014310137675614628
2,16,32,512.0,-0.39973659076388723,-2.1917365907638873,-0.0007807355288357173
2,32,2,64.0,-0.40265830973504146,-0.6266583097350414,-0.006291536089610023
2,32,4,128.0,-0.37215052015205496,-0.820150520152055,-0.0029074259386879294
2,32,8,256.0,-0.36587615452328415,-1.2618761545232842,-0.0014292037286065787
2,32,16,512.0,-0.30533735443391524,-2.0973373544339156,-0.0005963620203787407
2,32,32,1024.0,-0.3405915780079574,-3.9245915780079574,-0.0003326089628983959
