conditioning,regime,scorer,K,metric,n,mean,se,ci_low,ci_high,confidence,low_n,high_n,effect,value_col
image,distractors,calibrated_critic,4,exact_selected_real,9,0.15355711271884365,0.023794993767190378,0.10674720142456201,0.1998514199182633,0.95,1,32,high_minus_low,exact_selected_real
image,distractors,calibrated_critic,4,exact_selected_score,9,0.16059149302062695,0.021179268748435925,0.12282637697459829,0.2014416451222809,0.95,1,32,high_minus_low,exact_selected_score
image,distractors,calibrated_critic,4,high_n_regret,9,0.0,0.0,0.0,0.0,0.95,1,32,high_minus_low,high_n_regret
image,distractors,diffusion_likelihood_proxy,4,exact_selected_real,9,0.056635829007570596,0.042446782293032004,-0.015603976796467628,0.13205507152109103,0.95,1,32,high_minus_low,exact_selected_real
image,distractors,diffusion_likelihood_proxy,4,exact_selected_score,9,0.08329182285825773,0.011420136178517282,0.06573582780854881,0.11017744857574113,0.95,1,32,high_minus_low,exact_selected_score
image,distractors,diffusion_likelihood_proxy,4,high_n_regret,9,0.0,0.0,0.0,0.0,0.95,1,32,high_minus_low,high_n_regret
image,distractors,learned_behavior_cloning_critic,4,exact_selected_real,9,0.056636064091013454,0.04244666258545832,-0.0240759757541756,0.13603124003774572,0.95,1,32,high_minus_low,exact_selected_real
image,distractors,learned_behavior_cloning_critic,4,exact_selected_score,9,0.12211575656054101,0.016695053810336407,0.09367138021773898,0.15882802203452048,0.95,1,32,high_minus_low,exact_selected_score
image,distractors,learned_behavior_cloning_critic,4,high_n_regret,9,0.0,0.0,0.0,0.0,0.95,1,32,high_minus_low,high_n_regret
image,distractors,oracle_real_utility_selector,4,exact_selected_real,9,0.15894926463040943,0.022738998799949006,0.11684855632494427,0.19806199477975267,0.95,1,32,high_minus_low,exact_selected_real
image,distractors,oracle_real_utility_selector,4,exact_selected_score,9,0.15894926463040943,0.022738998799949006,0.11684855632494427,0.19806199477975267,0.95,1,32,high_minus_low,exact_selected_score
image,distractors,oracle_real_utility_selector,4,high_n_regret,9,0.0,0.0,0.0,0.0,0.95,1,32,high_minus_low,high_n_regret
image,hidden_obstacle,calibrated_critic,4,exact_selected_real,9,0.1499444708093022,0.023251083286531984,0.10853810971350338,0.19401278636211552,0.95,1,32,high_minus_low,exact_selected_real
image,hidden_obstacle,calibrated_critic,4,exact_selected_score,9,0.15909739404565731,0.020707103548129886,0.12415674789247345,0.19784879857423465,0.95,1,32,high_minus_low,exact_selected_score
image,hidden_obstacle,calibrated_critic,4,high_n_regret,9,0.0,0.0,0.0,0.0,0.95,1,32,high_minus_low,high_n_regret
image,hidden_obstacle,diffusion_likelihood_proxy,4,exact_selected_real,9,-0.026691902933896623,0.05962804647510178,-0.11693872100773828,0.08902446991773887,0.95,1,32,high_minus_low,exact_selected_real
image,hidden_obstacle,diffusion_likelihood_proxy,4,exact_selected_score,9,0.08332639673712604,0.011409687676768358,0.06578486909249671,0.11017932901786262,0.95,1,32,high_minus_low,exact_selected_score
image,hidden_obstacle,diffusion_likelihood_proxy,4,high_n_regret,9,0.0,0.0,0.0,0.0,0.95,1,32,high_minus_low,high_n_regret
image,hidden_obstacle,learned_behavior_cloning_critic,4,exact_selected_real,9,-0.026682172979286226,0.05962737403803592,-0.13564146015791712,0.09147660209521445,0.95,1,32,high_minus_low,exact_selected_real
image,hidden_obstacle,learned_behavior_cloning_critic,4,exact_selected_score,9,0.12216603251359309,0.01667982111949535,0.09373883874174706,0.15884251245356032,0.95,1,32,high_minus_low,exact_selected_score
image,hidden_obstacle,learned_behavior_cloning_critic,4,high_n_regret,9,0.0,0.0,0.0,0.0,0.95,1,32,high_minus_low,high_n_regret
image,hidden_obstacle,oracle_real_utility_selector,4,exact_selected_real,9,0.1597598864964673,0.02067924871882826,0.12204348800199898,0.19704032925540785,0.95,1,32,high_minus_low,exact_selected_real
image,hidden_obstacle,oracle_real_utility_selector,4,exact_selected_score,9,0.1597598864964673,0.02067924871882826,0.12204348800199898,0.19704032925540785,0.95,1,32,high_minus_low,exact_selected_score
image,hidden_obstacle,oracle_real_utility_selector,4,high_n_regret,9,0.0,0.0,0.0,0.0,0.95,1,32,high_minus_low,high_n_regret
image,id,calibrated_critic,4,exact_selected_real,9,0.1534095333829758,0.02380577961200739,0.10659264246415003,0.19955453815099275,0.95,1,32,high_minus_low,exact_selected_real
image,id,calibrated_critic,4,exact_selected_score,9,0.16055233000272098,0.021193210543092197,0.12278861878898288,0.2013643585449614,0.95,1,32,high_minus_low,exact_selected_score
image,id,calibrated_critic,4,high_n_regret,9,0.0,0.0,0.0,0.0,0.95,1,32,high_minus_low,high_n_regret
image,id,diffusion_likelihood_proxy,4,exact_selected_real,9,0.057232864546426065,0.04206600653537474,-0.013962864793060305,0.1319295482212926,0.95,1,32,high_minus_low,exact_selected_real
image,id,diffusion_likelihood_proxy,4,exact_selected_score,9,0.08330901828125542,0.011413443681366394,0.0657656603169694,0.11017472764383286,0.95,1,32,high_minus_low,exact_selected_score
image,id,diffusion_likelihood_proxy,4,high_n_regret,9,0.0,0.0,0.0,0.0,0.95,1,32,high_minus_low,high_n_regret
image,id,learned_behavior_cloning_critic,4,exact_selected_real,9,0.057232864547280285,0.04206600653555608,-0.02246053208080217,0.13626899711656176,0.95,1,32,high_minus_low,exact_selected_real
image,id,learned_behavior_cloning_critic,4,exact_selected_score,9,0.12214088129919093,0.01668523196228575,0.09371011552101845,0.15883077980598403,0.95,1,32,high_minus_low,exact_selected_score
image,id,learned_behavior_cloning_critic,4,high_n_regret,9,0.0,0.0,0.0,0.0,0.95,1,32,high_minus_low,high_n_regret
