conditioning,regime,scorer,N,K,n_rows,exact_selected_real,exact_selected_real_se,exact_selected_real_ci_low,exact_selected_real_ci_high,exact_selected_score,exact_selected_score_se,exact_selected_score_ci_low,exact_selected_score_ci_high,mc_selected_real,mc_selected_real_se,mc_selected_real_ci_low,mc_selected_real_ci_high,oracle_selected_real,oracle_selected_real_se,oracle_selected_real_ci_low,oracle_selected_real_ci_high,score_utility_correlation,score_utility_correlation_se,score_utility_correlation_ci_low,score_utility_correlation_ci_high,tail_rank_correlation,tail_rank_correlation_se,tail_rank_correlation_ci_low,tail_rank_correlation_ci_high,top_score_tail_real_utility,top_score_tail_real_utility_se,top_score_tail_real_utility_ci_low,top_score_tail_real_utility_ci_high,high_n_regret,high_n_regret_se,high_n_regret_ci_low,high_n_regret_ci_high,real_change_high_minus_low,real_change_high_minus_low_se,real_change_high_minus_low_ci_low,real_change_high_minus_low_ci_high,score_change_high_minus_low,score_change_high_minus_low_se,score_change_high_minus_low_ci_low,score_change_high_minus_low_ci_high
image,distractors,calibrated_critic,1,4,9,-0.9339986016571873,0.06691771891615511,-1.065154920660426,-0.8028422826539486,-0.9324583678227601,0.0670432044986823,-1.0638606340483312,-0.8010561015971891,-0.9320756438017112,0.06733589653912884,-1.064051575885119,-0.8000997117183034,-0.9339986016571871,0.0669177189161551,-1.0651549206604258,-0.8028422826539484,0.9564597588791135,0.034453078561022095,0.8889329657429812,1.0239865520152458,0.7222222222222221,0.15184730050513873,0.4246069820825195,1.0198374623619246,-0.8145335002038692,0.06314274179833476,-0.9382910000137171,-0.6907760003940212,0.005392151911565785,0.0028058767545455117,-0.00010726547240154979,0.010891569295533119,0.15355711271884365,0.023794993767190378,0.10691978192279546,0.20019444351489185,0.16059149302062695,0.021179268748435925,0.11908088905479783,0.20210209698645606
image,distractors,calibrated_critic,2,4,9,-0.8832419234730872,0.06527759885919424,-1.0111836662343607,-0.7553001807118136,-0.8810075144152918,0.06531649810077648,-1.0090254982890925,-0.7529895305414911,-0.8772524026986589,0.06452432440976559,-1.003717754668578,-0.7507870507287397,-0.8822983390541044,0.06534235356491265,-1.0103669987064157,-0.7542296794017932,0.9564597588791135,0.034453078561022095,0.8889329657429812,1.0239865520152458,0.7222222222222221,0.15184730050513873,0.4246069820825195,1.0198374623619246,-0.8145335002038692,0.06314274179833476,-0.9382910000137171,-0.6907760003940212,0.005392151911565785,0.0028058767545455117,-0.00010726547240154979,0.010891569295533119,0.15355711271884365,0.023794993767190378,0.10691978192279546,0.20019444351489185,0.16059149302062695,0.021179268748435925,0.11908088905479783,0.20210209698645606
image,distractors,calibrated_critic,4,4,9,-0.8436353699522572,0.06400863606845951,-0.9690899913459693,-0.7181807485585451,-0.8396582828405126,0.0638898280583043,-0.9648800448132456,-0.7144365208677795,-0.8416166011981553,0.06261639738683941,-0.9643424849180084,-0.7188907174783021,-0.8413736248499607,0.06419628157303303,-0.9671960246744977,-0.7155512250254237,0.9564597588791135,0.034453078561022095,0.8889329657429812,1.0239865520152458,0.7222222222222221,0.15184730050513873,0.4246069820825195,1.0198374623619246,-0.8145335002038692,0.06314274179833476,-0.9382910000137171,-0.6907760003940212,0.005392151911565785,0.0028058767545455117,-0.00010726547240154979,0.010891569295533119,0.15355711271884365,0.023794993767190378,0.10691978192279546,0.20019444351489185,0.16059149302062695,0.021179268748435925,0.11908088905479783,0.20210209698645606
image,distractors,calibrated_critic,8,4,9,-0.8147031876428232,0.06281094926212868,-0.9378103860313681,-0.6915959892542783,-0.8085867724255533,0.06250545570245446,-0.9310952144396278,-0.6860783304114788,-0.8126882788695311,0.06240929906664627,-0.9350082573405469,-0.6903683003985153,-0.8107787638077952,0.06322713224597358,-0.9347016658556545,-0.686855861759936,0.9564597588791135,0.034453078561022095,0.8889329657429812,1.0239865520152458,0.7222222222222221,0.15184730050513873,0.4246069820825195,1.0198374623619246,-0.8145335002038692,0.06314274179833476,-0.9382910000137171,-0.6907760003940212,0.005392151911565785,0.0028058767545455117,-0.00010726547240154979,0.010891569295533119,0.15355711271884365,0.023794993767190378,0.10691978192279546,0.20019444351489185,0.16059149302062695,0.021179268748435925,0.11908088905479783,0.20210209698645606
image,distractors,calibrated_critic,16,4,9,-0.7950993372274358,0.061552219018942866,-0.9157394696730851,-0.6744592047817864,-0.7871580789974518,0.06106640001807046,-0.906846023698386,-0.6674701342965177,-0.7949244019776833,0.06058564641865883,-0.9136700869383327,-0.6761787170170339,-0.7897659519354415,0.06218296068264454,-0.911642315325495,-0.667889588545388,0.9564597588791135,0.034453078561022095,0.8889329657429812,1.0239865520152458,0.7222222222222221,0.15184730050513873,0.4246069820825195,1.0198374623619246,-0.8145335002038692,0.06314274179833476,-0.9382910000137171,-0.6907760003940212,0.005392151911565785,0.0028058767545455117,-0.00010726547240154979,0.010891569295533119,0.15355711271884365,0.023794993767190378,0.10691978192279546,0.20019444351489185,0.16059149302062695,0.021179268748435925,0.11908088905479783,0.20210209698645606
image,distractors,calibrated_critic,32,4,9,-0.7804414889383434,0.060781105239902954,-0.899570266149092,-0.6613127117275949,-0.7718668748021332,0.05997238723215983,-0.8894105938440562,-0.6543231557602103,-0.7796774147044617,0.06114706966140501,-0.8995234690009773,-0.6598313604079461,-0.7750493370267777,0.0614188216245575,-0.8954280153838002,-0.6546706586697552,0.9564597588791135,0.034453078561022095,0.8889329657429812,1.0239865520152458,0.7222222222222221,0.15184730050513873,0.4246069820825195,1.0198374623619246,-0.8145335002038692,0.06314274179833476,-0.9382910000137171,-0.6907760003940212,0.005392151911565785,0.0028058767545455117,-0.00010726547240154979,0.010891569295533119,0.15355711271884365,0.023794993767190378,0.10691978192279546,0.20019444351489185,0.16059149302062695,0.021179268748435925,0.11908088905479783,0.20210209698645606
image,distractors,diffusion_likelihood_proxy,1,4,9,-0.9339986016571871,0.06691771891615515,-1.0651549206604258,-0.8028422826539483,-0.41322516839150836,0.060333796343459006,-0.5314772362752624,-0.2949731005077543,-0.9320756438017112,0.06733589653912884,-1.064051575885119,-0.8000997117183034,-0.9339986016571871,0.0669177189161551,-1.0651549206604258,-0.8028422826539484,0.5716438579341804,0.19121992396235699,0.19685969384147312,0.9464280220268877,0.01587301587301585,0.21255177366416,-0.4007208053588468,0.43246683710487854,-0.8650660301675499,0.07071516174213575,-1.0036652003430606,-0.7264668599920392,0.10231343562283882,0.03450469325748146,0.03468547954057313,0.1699413917051045,0.056635829007570596,0.042446782293032004,-0.026558335546384607,0.1398299935615258,0.08329182285825773,0.011420136178517282,0.06090876724982098,0.10567487846669449
image,distractors,diffusion_likelihood_proxy,2,4,9,-0.9061243414995896,0.068489364700515,-1.040361029636628,-0.7718876533625514,-0.38751039383687075,0.05945167456013515,-0.5040335347953318,-0.27098725287840975,-0.9001745389373215,0.06831278009121809,-1.0340651275999138,-0.7662839502747292,-0.8822983390541044,0.06534235356491265,-1.0103669987064157,-0.7542296794017932,0.5716438579341804,0.19121992396235699,0.19685969384147312,0.9464280220268877,0.01587301587301585,0.21255177366416,-0.4007208053588468,0.43246683710487854,-0.8650660301675499,0.07071516174213575,-1.0036652003430606,-0.7264668599920392,0.10231343562283882,0.03450469325748146,0.03468547954057313,0.1699413917051045,0.056635829007570596,0.042446782293032004,-0.026558335546384607,0.1398299935615258,0.08329182285825773,0.011420136178517282,0.06090876724982098,0.10567487846669449
image,distractors,diffusion_likelihood_proxy,4,4,9,-0.8848541866883788,0.06911841203278059,-1.0203237849412286,-0.749384588435529,-0.3673968334852413,0.05837899341169637,-0.4818175580258673,-0.25297610894461536,-0.8815084159873271,0.0683396465517953,-1.0154516619450427,-0.7475651700296114,-0.8413736248499607,0.06419628157303303,-0.9671960246744977,-0.7155512250254237,0.5716438579341804,0.19121992396235699,0.19685969384147312,0.9464280220268877,0.01587301587301585,0.21255177366416,-0.4007208053588468,0.43246683710487854,-0.8650660301675499,0.07071516174213575,-1.0036652003430606,-0.7264668599920392,0.10231343562283882,0.03450469325748146,0.03468547954057313,0.1699413917051045,0.056635829007570596,0.042446782293032004,-0.026558335546384607,0.1398299935615258,0.08329182285825773,0.011420136178517282,0.06090876724982098,0.10567487846669449
image,distractors,diffusion_likelihood_proxy,8,4,9,-0.8715499691031159,0.06840809340590913,-1.0056273684297496,-0.7374725697764821,-0.35135600467143246,0.057165355952396725,-0.4633980435015424,-0.23931396584132253,-0.8741557650723727,0.06801794146458492,-1.0074684806455128,-0.7408430494992326,-0.8107787638077952,0.06322713224597358,-0.9347016658556545,-0.686855861759936,0.5716438579341804,0.19121992396235699,0.19685969384147312,0.9464280220268877,0.01587301587301585,0.21255177366416,-0.4007208053588468,0.43246683710487854,-0.8650660301675499,0.07071516174213575,-1.0036652003430606,-0.7264668599920392,0.10231343562283882,0.03450469325748146,0.03468547954057313,0.1699413917051045,0.056635829007570596,0.042446782293032004,-0.026558335546384607,0.1398299935615258,0.08329182285825773,0.011420136178517282,0.06090876724982098,0.10567487846669449
