seed,conditioning,initial_loss,final_loss,loss_ratio,epochs,image_size
1,state,0.0265654306858778,0.005771623458713293,0.21726067711680247,20,0
1,image,0.0202624648809433,0.007963229902088642,0.3930040076011681,20,32
2,state,0.021820135414600372,0.004664321895688772,0.21376227997960834,20,0
2,image,0.015784943476319313,0.005686459597200155,0.3602458004193061,20,32
3,state,0.03204962983727455,0.005701248999685049,0.17788813875954188,20,0
3,image,0.021297352388501167,0.008253434672951698,0.38753336670185723,20,32
