regime,seed,state_idx,K,temperature,configured_diversity,mean_pairwise_distance,effective_sample_diversity,duplicate_collapse_rate,mode_coverage_observed,marginal_diversity_gain_high_n
low_diversity_high_quality,1,0,32,0.05,0.01,0.0,1.0,0.9895833333333334,0.2,0.0
high_diversity_aligned,1,0,16,0.88,0.95,0.5745408294382195,1.6553227067946248,0.0,1.0,-0.0050763236578380555
high_diversity_misaligned,1,0,16,0.95,1.0,0.6506770654586277,1.6518124380162407,0.0,1.0,0.0014857098924588863
collapsed_sampler,1,0,18,0.34,0.03,0.03509284946113201,1.6495449702496412,0.0,0.2,0.00013412241245819995
noisy_low_k_sampler,1,0,2,1.1,0.9,2.6150665657365497,1.6517818351795586,0.0,1.0,0.06673415888293688
expensive_high_k_sampler,1,0,32,0.62,0.55,0.20740115705770784,2.270049030996335,0.0,0.8,0.021101178597287662
low_diversity_high_quality,1,1,32,0.05,0.01,0.0,1.0,0.9895833333333334,0.2,0.0
high_diversity_aligned,1,1,16,0.88,0.95,0.5442844550188525,1.6578038573175133,0.0,1.0,-0.002345908011734843
high_diversity_misaligned,1,1,16,0.95,1.0,0.6203479337652354,1.652201817874847,0.0,1.0,0.01356052452890888
collapsed_sampler,1,1,18,0.34,0.03,0.035542572098749316,1.6432158268042076,0.0,0.2,0.00017938928723390535
noisy_low_k_sampler,1,1,2,1.1,0.9,2.62245256043517,1.642661883505277,0.0,1.0,0.05138759032860163
expensive_high_k_sampler,1,1,32,0.62,0.55,0.2250633556400828,2.2534336415751706,0.0,0.8,-0.017168080073279524
low_diversity_high_quality,1,2,32,0.05,0.01,0.0,1.0,0.9895833333333334,0.2,0.0
high_diversity_aligned,1,2,16,0.88,0.95,0.5661073875013861,1.6595681376922835,0.0,1.0,-0.01211036789365505
high_diversity_misaligned,1,2,16,0.95,1.0,0.633712814094566,1.6468469753170767,0.0,1.0,0.012659391433424094
collapsed_sampler,1,2,18,0.34,0.03,0.03528043215455498,1.6457442279206234,0.0,0.2,-0.000871210057693951
noisy_low_k_sampler,1,2,2,1.1,0.9,2.6179649914274377,1.651979312322549,0.0,1.0,0.08995206202398887
expensive_high_k_sampler,1,2,32,0.62,0.55,0.22375920776319655,2.210119395838053,0.0,0.8,-0.03537448051359762
low_diversity_high_quality,1,3,32,0.05,0.01,0.0,1.0,0.9895833333333334,0.2,0.0
high_diversity_aligned,1,3,16,0.88,0.95,0.557081278448425,1.6509250105223354,0.0,1.0,0.021441015709124267
high_diversity_misaligned,1,3,16,0.95,1.0,0.6382234683088736,1.648971913204156,0.0,1.0,0.01005646454450515
collapsed_sampler,1,3,18,0.34,0.03,0.03417663488768857,1.6421979460661524,0.0,0.2,-0.0003204203993629126
noisy_low_k_sampler,1,3,2,1.1,0.9,2.5343667690083462,1.6532292878782497,0.0,1.0,0.07798542222785487
expensive_high_k_sampler,1,3,32,0.62,0.55,0.23696457845690558,1.5230163484414427,0.0,0.8,-0.009413222652522174
low_diversity_high_quality,1,4,32,0.05,0.01,0.0,1.0,0.9895833333333334,0.2,0.0
high_diversity_aligned,1,4,16,0.88,0.95,0.5756825646472298,1.6576341099830434,0.0,1.0,-0.006824783237159959
high_diversity_misaligned,1,4,16,0.95,1.0,0.6196215877294581,1.6504974590504855,0.0,1.0,0.012462397409158443
collapsed_sampler,1,4,18,0.34,0.03,0.03462616456596712,1.6565328950768203,0.0,0.2,-0.0012645670884898416
noisy_low_k_sampler,1,4,2,1.1,0.9,2.536856533054732,1.6385688744514777,0.0,1.0,-0.07066846496074985
expensive_high_k_sampler,1,4,32,0.62,0.55,0.2412836415623431,1.4703930018948055,0.0,0.8,0.01159780369032698
low_diversity_high_quality,1,5,32,0.05,0.01,0.0,1.0,0.9895833333333334,0.2,0.0
high_diversity_aligned,1,5,16,0.88,0.95,0.5683514508682725,1.6563929688238093,0.0,1.0,-0.013094113619065206
high_diversity_misaligned,1,5,16,0.95,1.0,0.6419061288842361,1.6586082096712542,0.0,1.0,0.016410140877011647
