seed,sampler,regime,scorer,N,K,exact_selected_real,exact_selected_normalized_progress,exact_selected_final_progress,exact_selected_success,exact_selected_negative_final_distance
1,consistency_1step,fetch_aligned,anti_oracle_negative_control,1,1,-0.022857380708062116,0.0,-2.2942568366685075e-14,0.0,-0.1335737337373694
1,consistency_1step,fetch_aligned,anti_oracle_negative_control,2,1,-0.02505144370099253,0.0,-2.2942568366685075e-14,0.0,-0.1335737337373694
1,consistency_1step,fetch_aligned,anti_oracle_negative_control,4,1,-0.027014531852525687,0.0,-2.2942568366685075e-14,0.0,-0.1335737337373694
1,consistency_1step,fetch_aligned,anti_oracle_negative_control,8,1,-0.028748443222609915,0.0,-2.2942568366685075e-14,0.0,-0.13357373373736936
1,consistency_1step,fetch_aligned,diffusion_internal_score,1,1,-0.022857380708062116,0.0,-2.2942568366685075e-14,0.0,-0.1335737337373694
1,consistency_1step,fetch_aligned,diffusion_internal_score,2,1,-0.023510535247627362,0.0,-2.2942568366685075e-14,0.0,-0.1335737337373694
1,consistency_1step,fetch_aligned,diffusion_internal_score,4,1,-0.023804695589354913,0.0,-2.2942568366685075e-14,0.0,-0.1335737337373694
1,consistency_1step,fetch_aligned,diffusion_internal_score,8,1,-0.024172064020138353,0.0,-2.2942568366685075e-14,0.0,-0.13357373373736936
1,consistency_1step,fetch_aligned,goal_progress_heuristic,1,1,-0.02285738070806212,0.0,-2.2942568366685075e-14,0.0,-0.1335737337373694
1,consistency_1step,fetch_aligned,goal_progress_heuristic,2,1,-0.023057230437798764,0.0,-2.2942568366685075e-14,0.0,-0.1335737337373694
1,consistency_1step,fetch_aligned,goal_progress_heuristic,4,1,-0.0235395166514631,0.0,-2.2942568366685075e-14,0.0,-0.1335737337373694
1,consistency_1step,fetch_aligned,goal_progress_heuristic,8,1,-0.024522345056967775,0.0,-2.2942568366685075e-14,0.0,-0.13357373373736936
1,consistency_1step,fetch_aligned,learned_value_critic_from_pilot_rollouts,1,1,-0.022857380708062116,0.0,-2.2942568366685075e-14,0.0,-0.1335737337373694
1,consistency_1step,fetch_aligned,learned_value_critic_from_pilot_rollouts,2,1,-0.020708520052337115,0.0,-2.2942568366685075e-14,0.0,-0.1335737337373694
1,consistency_1step,fetch_aligned,learned_value_critic_from_pilot_rollouts,4,1,-0.019088087211327653,0.0,-2.2942568366685075e-14,0.0,-0.1335737337373694
1,consistency_1step,fetch_aligned,learned_value_critic_from_pilot_rollouts,8,1,-0.017659238320611417,0.0,-2.2942568366685075e-14,0.0,-0.13357373373736936
1,consistency_1step,fetch_aligned,misaligned_speed_scorer,1,1,-0.02285738070806212,0.0,-2.2942568366685075e-14,0.0,-0.1335737337373694
1,consistency_1step,fetch_aligned,misaligned_speed_scorer,2,1,-0.024048538816475337,0.0,-2.2942568366685075e-14,0.0,-0.1335737337373694
1,consistency_1step,fetch_aligned,misaligned_speed_scorer,4,1,-0.025189928891101877,0.0,-2.2942568366685075e-14,0.0,-0.1335737337373694
1,consistency_1step,fetch_aligned,misaligned_speed_scorer,8,1,-0.025617916036841076,0.0,-2.2942568366685075e-14,0.0,-0.13357373373736936
1,consistency_1step,fetch_aligned,oracle_real_utility_selector,1,1,-0.022857380708062116,0.0,-2.2942568366685075e-14,0.0,-0.1335737337373694
1,consistency_1step,fetch_aligned,oracle_real_utility_selector,2,1,-0.020663317715131704,0.0,-2.2942568366685075e-14,0.0,-0.1335737337373694
