seed,episode_idx,env_seed,regime,sampler,K,candidate_idx,utility,initial_distance,best_distance,final_distance,normalized_progress,final_progress,success,steps,runtime_seconds
1,0,41100,fetch_aligned,ddim_eps,1,0,-0.019926908016206266,0.15383500838757608,0.15383500838757608,0.15383500838757755,0.0,-9.562488558665011e-15,False,14,0.15435389999765903
1,0,41100,fetch_aligned,ddim_eps,1,1,-0.02277995347976828,0.15383500838757608,0.15383500838757608,0.15383500838757755,0.0,-9.562488558665011e-15,False,14,0.16057210002327338
1,0,41100,fetch_aligned,ddim_eps,1,2,-0.02257804393768454,0.15383500838757608,0.15383500838757608,0.15383500838757755,0.0,-9.562488558665011e-15,False,14,0.1520515000447631
1,0,41100,fetch_aligned,ddim_eps,1,3,-0.023121716976167203,0.15383500838757608,0.15383500838757608,0.15383500838757755,0.0,-9.562488558665011e-15,False,14,0.19795840000733733
1,0,41100,fetch_aligned,ddim_eps,1,4,-0.021275689601899628,0.15383500838757608,0.15383500838757608,0.15383500838757755,0.0,-9.562488558665011e-15,False,14,0.16562270000576973
1,0,41100,fetch_aligned,ddim_eps,1,5,-0.019173886775971892,0.15383500838757608,0.15383500838757608,0.15383500838757755,0.0,-9.562488558665011e-15,False,14,0.1606688000028953
1,0,41100,fetch_aligned,ddim_eps,1,6,-0.033635449409486304,0.15383500838757608,0.15383500838757608,0.15383500838757755,0.0,-9.562488558665011e-15,False,14,0.16246909997425973
1,0,41100,fetch_aligned,ddim_eps,1,7,-0.030059995651246552,0.15383500838757608,0.15383500838757608,0.15383500838757755,0.0,-9.562488558665011e-15,False,14,0.16331450000870973
1,0,41100,fetch_aligned,consistency_1step,1,0,-0.019951158761979584,0.15383500838757608,0.15383500838757608,0.15383500838757755,0.0,-9.562488558665011e-15,False,14,0.14340170001378283
1,0,41100,fetch_aligned,consistency_1step,1,1,-0.022729578018189908,0.15383500838757608,0.15383500838757608,0.15383500838757755,0.0,-9.562488558665011e-15,False,14,0.1485664999927394
1,0,41100,fetch_aligned,consistency_1step,1,2,-0.019892566204072478,0.15383500838757608,0.15383500838757608,0.15383500838757755,0.0,-9.562488558665011e-15,False,14,0.1506455999915488
1,0,41100,fetch_aligned,consistency_1step,1,3,-0.022889199256898404,0.15383500838757608,0.15383500838757608,0.15383500838757755,0.0,-9.562488558665011e-15,False,14,0.14292850001947954
1,0,41100,fetch_aligned,consistency_1step,1,4,-0.02952401638031149,0.15383500838757608,0.15383500838757608,0.15383500838757755,0.0,-9.562488558665011e-15,False,14,0.13380000001052395
1,0,41100,fetch_aligned,consistency_1step,1,5,-0.024534311294557097,0.15383500838757608,0.15383500838757608,0.15383500838757755,0.0,-9.562488558665011e-15,False,14,0.14793300000019372
1,0,41100,fetch_aligned,consistency_1step,1,6,-0.01350683689117575,0.15383500838757608,0.15383500838757608,0.15383500838757755,0.0,-9.562488558665011e-15,False,14,0.1570563000277616
