seed,state_idx,N,K,B,real_utility,latency_adjusted_utility,utility_per_diffusion_step,lambda_cost
1,0,1,2,2,-1.536014266246815,-1.543014266246815,-0.7680071331234075,0.0035
1,0,2,2,4,-1.1358180868488663,-1.1498180868488663,-0.2839545217122166,0.0035
1,0,4,2,8,-0.8546080408049889,-0.8826080408049889,-0.10682600510062361,0.0035
1,0,8,2,16,-0.6512215739414571,-0.7072215739414571,-0.04070134837134107,0.0035
1,0,16,2,32,-0.5101382495848622,-0.6221382495848622,-0.015941820299526944,0.0035
1,0,32,2,64,-0.4108287787918805,-0.6348287787918805,-0.006419199668623133,0.0035
1,0,1,4,4,-1.2334949376139064,-1.2474949376139064,-0.3083737344034766,0.0035
1,0,2,4,8,-0.9022657812853776,-0.9302657812853776,-0.1127832226606722,0.0035
1,0,4,4,16,-0.6512955302340343,-0.7072955302340344,-0.040705970639627144,0.0035
1,0,8,4,32,-0.4570011422395434,-0.5690011422395435,-0.014281285694985732,0.0035
1,0,16,4,64,-0.3127535972259887,-0.5367535972259887,-0.004886774956656074,0.0035
1,0,32,4,128,-0.2157678363838894,-0.6637678363838895,-0.001685686221749136,0.0035
1,0,1,8,8,-0.9562111640731251,-0.9842111640731251,-0.11952639550914064,0.0035
1,0,2,8,16,-0.754115739474661,-0.8101157394746611,-0.047132233717166315,0.0035
1,0,4,8,32,-0.6017460451750429,-0.7137460451750429,-0.01880456391172009,0.0035
1,0,8,8,64,-0.47638805701987896,-0.7003880570198789,-0.007443563390935609,0.0035
1,0,16,8,128,-0.36939453023640323,-0.8173945302364032,-0.0028858947674719002,0.0035
1,0,32,8,256,-0.2833183669274572,-1.1793183669274572,-0.0011067123708103797,0.0035
1,0,1,16,16,-0.7828023591320376,-0.8388023591320376,-0.04892514744575235,0.0035
1,0,2,16,32,-0.5693475382724953,-0.6813475382724953,-0.017792110571015478,0.0035
1,0,4,16,64,-0.4181945444710355,-0.6421945444710355,-0.0065342897573599295,0.0035
1,0,8,16,128,-0.3157549377117251,-0.7637549377117251,-0.002466835450872852,0.0035
1,0,16,16,256,-0.24985056772601769,-1.1458505677260178,-0.0009759787801797566,0.0035
1,0,32,16,512,-0.20084202368301335,-1.9928420236830133,-0.00039226957750588545,0.0035
1,0,1,32,32,-0.7736972442298566,-0.8856972442298566,-0.02417803888218302,0.0035
1,0,2,32,64,-0.5682229972805296,-0.7922229972805296,-0.008878484332508275,0.0035
1,0,4,32,128,-0.4190059280042023,-0.8670059280042023,-0.0032734838125328303,0.0035
1,0,8,32,256,-0.323511075134666,-1.219511075134666,-0.001263715137244789,0.0035
1,0,16,32,512,-0.2713892470430058,-2.063389247043006,-0.0005300571231308707,0.0035
1,0,32,32,1024,-0.2443201424847562,-3.828320142484756,-0.00023859388914526972,0.0035
1,1,1,2,2,-1.693575672577771,-1.700575672577771,-0.8467878362888855,0.0035
1,1,2,2,4,-1.2691860791809004,-1.2831860791809004,-0.3172965197952251,0.0035
1,1,4,2,8,-0.9598473454736106,-0.9878473454736106,-0.11998091818420133,0.0035
1,1,8,2,16,-0.7468667231431524,-0.8028667231431524,-0.046679170196447024,0.0035
1,1,16,2,32,-0.6105284304287077,-0.7225284304287077,-0.019079013450897117,0.0035
1,1,32,2,64,-0.5304566777088949,-0.7544566777088949,-0.008288385589201483,0.0035
1,1,1,4,4,-1.2923999469104082,-1.3063999469104082,-0.32309998672760204,0.0035
1,1,2,4,8,-1.0128668448355125,-1.0408668448355125,-0.12660835560443906,0.0035
1,1,4,4,16,-0.8081944803614532,-0.8641944803614533,-0.05051215502259083,0.0035
1,1,8,4,32,-0.6736990421137103,-0.7856990421137103,-0.02105309506605345,0.0035
1,1,16,4,64,-0.5884891594539504,-0.8124891594539504,-0.009195143116467975,0.0035
1,1,32,4,128,-0.5450290131151563,-0.9930290131151562,-0.0042580391649621584,0.0035
1,1,1,8,8,-0.9864925947599402,-1.0144925947599401,-0.12331157434499253,0.0035
1,1,2,8,16,-0.7546168005230369,-0.810616800523037,-0.04716355003268981,0.0035
1,1,4,8,32,-0.5903172511625688,-0.7023172511625688,-0.018447414098830276,0.0035
1,1,8,8,64,-0.4722793123858835,-0.6962793123858835,-0.00737936425602943,0.0035
1,1,16,8,128,-0.3860893878481187,-0.8340893878481187,-0.0030163233425634273,0.0035
1,1,32,8,256,-0.3210342511081602,-1.2170342511081602,-0.0012540400433912508,0.0035
1,1,1,16,16,-0.8526693572557257,-0.9086693572557257,-0.053291834828482855,0.0035
1,1,2,16,32,-0.7034497494816644,-0.8154497494816644,-0.021982804671302012,0.0035
1,1,4,16,64,-0.580899150077673,-0.804899150077673,-0.00907654921996364,0.0035
1,1,8,16,128,-0.47672602053484114,-0.9247260205348411,-0.0037244220354284464,0.0035
1,1,16,16,256,-0.3929529543784131,-1.288952954378413,-0.0015349724780406762,0.0035
1,1,32,16,512,-0.3327483896416256,-2.1247483896416255,-0.0006498991985188,0.0035
1,1,1,32,32,-0.8826720535148765,-0.9946720535148765,-0.027583501672339892,0.0035
1,1,2,32,64,-0.7715013131063597,-0.9955013131063597,-0.01205470801728687,0.0035
1,1,4,32,128,-0.68673646533748,-1.13473646533748,-0.0053651286354490626,0.0035
1,1,8,32,256,-0.6161610977240519,-1.5121610977240518,-0.002406879287984578,0.0035
1,1,16,32,512,-0.5538652280942312,-2.3458652280942314,-0.0010817680236215454,0.0035
1,1,32,32,1024,-0.500784864500082,-4.084784864500082,-0.0004890477192383613,0.0035
1,2,1,2,2,-1.5276039875221805,-1.5346039875221804,-0.7638019937610903,0.0035
1,2,2,2,4,-1.1187415039493422,-1.1327415039493423,-0.27968537598733556,0.0035
1,2,4,2,8,-0.8255228799192823,-0.8535228799192823,-0.10319035998991029,0.0035
1,2,8,2,16,-0.6103168029255243,-0.6663168029255243,-0.038144800182845266,0.0035
1,2,16,2,32,-0.4471221822922316,-0.5591221822922317,-0.013972568196632238,0.0035
1,2,32,2,64,-0.33837397664648416,-0.5623739766464841,-0.005287093385101315,0.0035
1,2,1,4,4,-1.3393136653518758,-1.3533136653518758,-0.33482841633796895,0.0035
1,2,2,4,8,-1.042623142312551,-1.070623142312551,-0.13032789278906887,0.0035
1,2,4,4,16,-0.7941662021260507,-0.8501662021260508,-0.04963538763287817,0.0035
1,2,8,4,32,-0.5947220262904789,-0.7067220262904789,-0.018585063321577465,0.0035
1,2,16,4,64,-0.4300443064447471,-0.6540443064447471,-0.006719442288199174,0.0035
1,2,32,4,128,-0.2924929348698123,-0.7404929348698124,-0.0022851010536704087,0.0035
1,2,1,8,8,-1.0395519290940956,-1.0675519290940956,-0.12994399113676194,0.0035
1,2,2,8,16,-0.8252417219855082,-0.8812417219855082,-0.05157760762409426,0.0035
1,2,4,8,32,-0.6588338737235597,-0.7708338737235597,-0.02058855855386124,0.0035
1,2,8,8,64,-0.5275634013579943,-0.7515634013579943,-0.00824317814621866,0.0035
1,2,16,8,128,-0.42554435467602936,-0.8735443546760293,-0.0033245652709064794,0.0035
1,2,32,8,256,-0.3558106245762468,-1.2518106245762468,-0.001389885252250964,0.0035
