seed,sampler,regime,scorer,N,K,exact_selected_real,exact_selected_score,mc_selected_real,oracle_selected_real,score_utility_correlation,tail_rank_correlation,top_score_tail_real_utility,high_n_regret,real_change_high_minus_low,score_change_high_minus_low,sample_runtime_seconds,rollout_runtime_seconds,runtime_per_candidate_ms,mean_pairwise_distance,effective_sample_diversity,duplicate_collapse_rate,trajectory_cluster_count,trajectory_cluster_entropy,new_modes_at_high_n,exact_selected_normalized_progress,exact_selected_final_progress,exact_selected_success,exact_selected_negative_final_distance
1,consistency_1step,fetch_aligned,anti_oracle_negative_control,1,1,-0.022857380708062116,0.022857380708062116,-0.02264584965176397,-0.022857380708062116,-1.0,-0.9999999999999997,-0.02844253977140135,0.011175496042407076,-0.005891062514547799,0.005891062514547799,0.006155200030965109,1.3161830333410762,165.29227917150516,5.741154704485585,1.522766480241647,0.0,4.0,0.8967475729679261,1.6666666666666667,0.0,-2.2942568366685075e-14,0.0,-0.1335737337373694
1,consistency_1step,fetch_aligned,anti_oracle_negative_control,2,1,-0.02505144370099253,0.02505144370099253,-0.02505537735091659,-0.020663317715131704,-1.0,-0.9999999999999997,-0.02844253977140135,0.011175496042407076,-0.005891062514547799,0.005891062514547799,0.006155200030965109,1.3161830333410762,165.29227917150516,5.741154704485585,1.522766480241647,0.0,4.0,0.8967475729679261,1.6666666666666667,0.0,-2.2942568366685075e-14,0.0,-0.1335737337373694
1,consistency_1step,fetch_aligned,anti_oracle_negative_control,4,1,-0.027014531852525687,0.027014531852525687,-0.026841598722673252,-0.018985465672646678,-1.0,-0.9999999999999997,-0.02844253977140135,0.011175496042407076,-0.005891062514547799,0.005891062514547799,0.006155200030965109,1.3161830333410762,165.29227917150516,5.741154704485585,1.522766480241647,0.0,4.0,0.8967475729679261,1.6666666666666667,0.0,-2.2942568366685075e-14,0.0,-0.1335737337373694
1,consistency_1step,fetch_aligned,anti_oracle_negative_control,8,1,-0.028748443222609915,0.028748443222609915,-0.029474247296654644,-0.01757294718020284,-1.0,-0.9999999999999997,-0.02844253977140135,0.011175496042407076,-0.005891062514547799,0.005891062514547799,0.006155200030965109,1.3161830333410762,165.29227917150516,5.741154704485585,1.522766480241647,0.0,4.0,0.8967475729679261,1.6666666666666667,0.0,-2.2942568366685075e-14,0.0,-0.13357373373736936
1,consistency_1step,fetch_aligned,diffusion_internal_score,1,1,-0.022857380708062116,-1.009331504503886,-0.0224077923562826,-0.022857380708062116,-0.14285714285714285,0.33333333333333326,-0.024703373114271426,0.006599116839935513,-0.0013146833120762358,0.2267751635134895,0.006155200030965109,1.3161830333410762,165.29227917150516,5.741154704485585,1.522766480241647,0.0,4.0,0.8967475729679261,1.6666666666666667,0.0,-2.2942568366685075e-14,0.0,-0.1335737337373694
1,consistency_1step,fetch_aligned,diffusion_internal_score,2,1,-0.023510535247627362,-0.9213949479162693,-0.024580950922439625,-0.020663317715131704,-0.14285714285714285,0.33333333333333326,-0.024703373114271426,0.006599116839935513,-0.0013146833120762358,0.2267751635134895,0.006155200030965109,1.3161830333410762,165.29227917150516,5.741154704485585,1.522766480241647,0.0,4.0,0.8967475729679261,1.6666666666666667,0.0,-2.2942568366685075e-14,0.0,-0.1335737337373694
1,consistency_1step,fetch_aligned,diffusion_internal_score,4,1,-0.023804695589354913,-0.8424129780614749,-0.02360521173477517,-0.018985465672646678,-0.14285714285714285,0.33333333333333326,-0.024703373114271426,0.006599116839935513,-0.0013146833120762358,0.2267751635134895,0.006155200030965109,1.3161830333410762,165.29227917150516,5.741154704485585,1.522766480241647,0.0,4.0,0.8967475729679261,1.6666666666666667,0.0,-2.2942568366685075e-14,0.0,-0.1335737337373694
1,consistency_1step,fetch_aligned,diffusion_internal_score,8,1,-0.024172064020138353,-0.7825563409903964,-0.02445425264040973,-0.01757294718020284,-0.14285714285714285,0.33333333333333326,-0.024703373114271426,0.006599116839935513,-0.0013146833120762358,0.2267751635134895,0.006155200030965109,1.3161830333410762,165.29227917150516,5.741154704485585,1.522766480241647,0.0,4.0,0.8967475729679261,1.6666666666666667,0.0,-2.2942568366685075e-14,0.0,-0.13357373373736936
1,consistency_1step,fetch_aligned,goal_progress_heuristic,1,1,-0.02285738070806212,0.08038077373876902,-0.022478087928563487,-0.022857380708062116,-0.15873015873015872,-0.33333333333333326,-0.0234239635864928,0.006949397876764938,-0.0016649643489056593,0.38598400985951525,0.006155200030965109,1.3161830333410762,165.29227917150516,5.741154704485585,1.522766480241647,0.0,4.0,0.8967475729679261,1.6666666666666667,0.0,-2.2942568366685075e-14,0.0,-0.1335737337373694
1,consistency_1step,fetch_aligned,goal_progress_heuristic,2,1,-0.023057230437798764,0.2470671743341678,-0.023203129397501677,-0.020663317715131704,-0.15873015873015872,-0.33333333333333326,-0.0234239635864928,0.006949397876764938,-0.0016649643489056593,0.38598400985951525,0.006155200030965109,1.3161830333410762,165.29227917150516,5.741154704485585,1.522766480241647,0.0,4.0,0.8967475729679261,1.6666666666666667,0.0,-2.2942568366685075e-14,0.0,-0.1335737337373694
